	InputReads	GenomeReads	TranscriptomeReads	TranscriptomeGenomeRatio	TranscriptomeComplexity
sample_FHS_1020_CVD_BC_12_fastq	2694381	605434	542550	0.896134	0.0325813
sample_FHS_1066_No_CVD_BC_11_fastq	1344525	311154	269652	0.866619	0.042158
sample_FHS_1095_No_CVD_BC_13_fastq	1642552	385613	333771	0.86556	0.0400454
sample_FHS_1120_No_CVD_BC_01_fastq	1774601	183814	166607	0.906389	0.05025
sample_FHS_1579_CVD_BC_10_fastq	2941283	246114	183753	0.746617	0.0705893
sample_FHS_1610_CVD_BC_04_fastq	3436130	1076046	1007685	0.93647	0.0214214
sample_FHS_172_CVD_BC_14_fastq	1967096	359245	276109	0.768581	0.0444607
sample_FHS_216_N0_CVD_BC_03_fastq	4329495	1586770	1500424	0.945584	0.0202896
sample_FHS_21_No_CVD_BC_01_fastq	1443970	251893	210235	0.83462	0.0440602
sample_FHS_2303_No_CVD_BC_07_fastq	2850709	268299	211627	0.788773	0.0571335
sample_FHS_2616_No_CVD_BC_05_fastq	1642329	165361	130701	0.790398	0.0708411
sample_FHS_2768_CVD_BC_02_fastq	4057193	1309735	1249385	0.953922	0.0176119
sample_FHS_2918_No_CVD_BC01_fastq	3717744	1166928	1095028	0.938385	0.0208844
sample_FHS_2938_CVD_BC_04_fastq	1075702	123209	88318	0.716815	0.0810707
sample_FHS_3132_N0_CVD_BC_05_fastq	2283371	214422	177265	0.826711	0.0621837
sample_FHS_3170_No_CVD_BC_07_fastq	1320893	101882	76519	0.751055	0.086044
sample_FHS_320_No_CVD_BC_07_fastq	2639248	859306	812926	0.946026	0.0228938
sample_FHS_3392_CVD_BC_02_fastq	1453996	290943	243884	0.838254	0.0459358
sample_FHS_3464_No_CVD_BC_03_fastq	791936	83572	59670	0.713995	0.0854366
sample_FHS_3713_CVD_BC_06_fastq	1454339	181165	148945	0.822151	0.0594582
sample_FHS_4043_CVD_BC_04_fastq	1941761	213105	177837	0.834504	0.0549155
sample_FHS_4820_No_CVD_BC_13_fastq	1878371	219319	175885	0.80196	0.0658157
sample_FHS_4912_CVD_BC_02_fastq	1460507	66190	46449	0.701753	0.120003
sample_FHS_500_No_CVD_BC_09_fastq	2579909	131310	90586	0.689864	0.0898483
sample_FHS_5237_CVD_BC_06_fastq	1846763	183644	151001	0.822248	0.0625029
sample_FHS_543_CVD_BC_16_fastq	1646653	121135	91811	0.757923	0.0833451
sample_FHS_590_N0_CVD_BC_15_fastq	2127013	178266	150126	0.842146	0.0634467
sample_FHS_6077_No_CVD_BC_09_fastq	3508311	1445706	1378861	0.953763	0.0179931
sample_FHS_6136_CVD_BC_08_fastq	2223997	189315	156354	0.825893	0.0569733
sample_FHS_6355_CVD_BC_08_fastq	3529782	800415	727498	0.908901	0.0308468
sample_FHS_6684_CVD_BC_16_fastq	2686768	356831	294681	0.825828	0.0441087
sample_FHS_6758_CVD_BC_14_fastq	2098989	241971	185579	0.766947	0.0710156
sample_FHS_676_CVD_BC_06_fastq	3412983	1092977	1031504	0.943756	0.0221686
sample_FHS_6926_No_CVD_BC_03_fastq	1639784	205638	178532	0.868186	0.0483107
sample_FHS_7138_CVD_BC_12_fastq	2227746	367084	295317	0.804494	0.0504576
sample_FHS_7226_No_CVD_BC_15_fastq	3403985	608858	466364	0.765965	0.0282226
sample_FHS_728_CVD_BC_08_fastq	2605819	167051	128725	0.770573	0.0743368
sample_FHS_7326_No_CVD_BC_11_fastq	2211295	186185	139705	0.750356	0.0782792
