	InputReads	GenomeReads	TranscriptomeReads	TranscriptomeGenomeRatio	TranscriptomeComplexity
sample_SAMPLE_0023_PD_SER_fastq	1317340	616419	502929	0.815888	0.0458693
sample_SAMPLE_0027_PD_CSF_fastq	21139225	4927548	4654684	0.944625	0.0245791
sample_SAMPLE_0027_PD_SER_fastq	6880794	3460122	833099	0.240772	0.2236
sample_SAMPLE_0045_PD_CSF_fastq	9667953	4229486	4148257	0.980795	0.01772
sample_SAMPLE_0116_AD_CSF_fastq	17972961	4682832	4526222	0.966557	0.0161106
sample_SAMPLE_0116_AD_SER_fastq	3854821	2275820	2076627	0.912474	0.0264761
sample_SAMPLE_0118_AD_CSF_fastq	10616947	2973079	2877344	0.967799	0.0196323
sample_SAMPLE_0118_AD_SER_fastq	38752246	30791190	29248898	0.949911	0.00956904
sample_SAMPLE_0119_PD_CSF_fastq	24168358	10976033	10772413	0.981449	0.0163858
sample_SAMPLE_0124_PD_SER_fastq	4254088	2265778	2112641	0.932413	0.0237698
sample_SAMPLE_0127_PD_CSF_fastq	12122974	6033943	5923134	0.981636	0.0205005
sample_SAMPLE_0127_PD_SER_fastq	9659949	6556341	6357074	0.969607	0.0106514
sample_SAMPLE_0129_PD_CSF_fastq	4451581	1407550	1388919	0.986764	0.022105
sample_SAMPLE_0129_PD_SER_fastq	14193852	4493367	4311497	0.959525	0.0181373
sample_SAMPLE_0137_CONTROL_SER_fastq	3601036	1502103	1456465	0.969617	0.0434902
sample_SAMPLE_0142_PD_SER_fastq	6840075	2262981	2074071	0.916522	0.0443673
sample_SAMPLE_0144_CONTROL_CSF_fastq	7455533	3691691	3619801	0.980527	0.0143958
sample_SAMPLE_0144_CONTROL_SER_fastq	4783399	2699088	2339113	0.866631	0.0353023
sample_SAMPLE_0146_CONTROL_CSF_fastq	8745216	4047460	3960354	0.978479	0.013592
sample_SAMPLE_0146_CONTROL_SER_fastq	4200649	2366547	2353374	0.994434	0.0347267
sample_SAMPLE_0148_AD_CSF_fastq	3107728	1305076	1264276	0.968737	0.018806
sample_SAMPLE_0149_PD_CSF_fastq	6349519	3555884	3456599	0.972079	0.0228673
sample_SAMPLE_0149_PD_SER_fastq	4011566	707045	436376	0.617183	0.0728661
sample_SAMPLE_0201_CONTROL_CSF_fastq	49338404	15441755	15016028	0.97243	0.0104765
sample_SAMPLE_0201_CONTROL_SER_fastq	9085186	87748	80270	0.914779	0.0685187
sample_SAMPLE_0204_CONTROL_CSF_fastq	11606192	7600126	7495853	0.98628	0.0136486
sample_SAMPLE_0204_CONTROL_SER_fastq	6375532	1710381	1498903	0.876356	0.0377529
sample_SAMPLE_0205_PD_CSF_fastq	5749633	3604006	3587152	0.995324	0.00757509
sample_SAMPLE_0205_PD_SER_fastq	4069398	1524608	1120883	0.735194	0.0456131
sample_SAMPLE_0207_AD_CSF_fastq	2811457	1557192	1538363	0.987908	0.0156075
sample_SAMPLE_0210_PD_CSF_fastq	3550830	699309	689574	0.986079	0.0280666
sample_SAMPLE_0210_PD_SER_fastq	16291133	8770518	8590284	0.97945	0.014578
sample_SAMPLE_0215_PD_CSF_fastq	7249225	3155711	3086384	0.978031	0.0180545
sample_SAMPLE_0215_PD_SER_fastq	653710	238415	206292	0.865264	0.0645929
sample_SAMPLE_0217_PD_CSF_fastq	6338273	4197714	4016163	0.95675	0.011999
sample_SAMPLE_0217_PD_SER_fastq	3297777	1069537	295494	0.276282	0.205304
sample_SAMPLE_0233_CONTROL_CSF_fastq	12769568	4145876	4016884	0.968887	0.0154904
sample_SAMPLE_0233_CONTROL_SER_fastq	6757579	621859	196236	0.315563	0.136993
sample_SAMPLE_0239_AD_CSF_fastq	15148847	9429705	9307418	0.987032	0.0111525
sample_SAMPLE_0239_AD_SER_fastq	10704875	5081277	4943974	0.972979	0.0285671
sample_SAMPLE_0302_AD_CSF_fastq	16677179	4923192	4727178	0.960186	0.0264255
sample_SAMPLE_0302_AD_SER_fastq	7885486	3268556	2841169	0.869243	0.025996
