	InputReads	GenomeReads	TranscriptomeReads	TranscriptomeGenomeRatio	TranscriptomeComplexity
sample_NEB_Lib_41_fastq	14283156	3895854	3562431	0.914416	0.0322314
sample_NEB_Lib_42_fastq	15338253	3381962	3181328	0.940675	0.0288402
sample_NEB_Lib_43_fastq	15129307	3975793	3788323	0.952847	0.0217136
sample_NEB_Lib_44_fastq	14630007	4565143	4379145	0.959257	0.0187891
sample_NEB_Lib_45_fastq	16417982	3261383	3002105	0.920501	0.0300243
sample_NEB_Lib_46_fastq	17838612	3608113	3303226	0.9155	0.0362443
sample_NEB_Lib_47_fastq	12158114	1689839	903889	0.534897	0.105283
sample_NEB_Lib_48_fastq	16832896	4220833	3898671	0.923673	0.0316274
sample_NEB_Lib_49_fastq	12760312	3784128	3652783	0.965291	0.018651
sample_NEB_Lib_50_fastq	15612756	3524237	3330484	0.945023	0.0226048
sample_NEB_Lib_51_fastq	13411424	3056496	2931955	0.959254	0.0365118
sample_NEB_Lib_52_fastq	14225335	1331587	959357	0.720461	0.0735253
sample_NEB_Lib_53_fastq	12628357	780743	544419	0.697309	0.0766046
sample_NEB_Lib_54_fastq	16228044	2321112	2152755	0.927467	0.0300434
sample_NEB_Lib_55_fastq	15392001	3174173	2987632	0.941232	0.0292657
sample_NEB_Lib_56_fastq	14165288	2280748	2133444	0.935414	0.0322765
sample_NEB_Lib_57_fastq	15311891	2884177	2653389	0.919981	0.0386479
sample_NEB_Lib_58_fastq	15325279	3167344	2917466	0.921108	0.0298317
sample_NEB_Lib_59_fastq	13569597	1536517	1280037	0.833077	0.0449995
sample_NEB_Lib_60_fastq	16278055	1657296	1220178	0.736246	0.0705168
sample_NEB_Lib_61_fastq	12965584	5465675	5280280	0.96608	0.024582
sample_NEB_Lib_62_fastq	14674333	3442852	3250760	0.944206	0.0399636
sample_NEB_Lib_63_fastq	12481491	2084459	1881108	0.902444	0.0472418
sample_NEB_Lib_64_fastq	14597785	2332279	2158625	0.925543	0.0348101
sample_NEB_Lib_65_fastq	13596643	3334430	3161704	0.948199	0.0253202
sample_NEB_Lib_66_fastq	14933781	1678265	1492381	0.88924	0.0368438
sample_NEB_Lib_67_fastq	14449369	2366423	2186449	0.923947	0.0420614
sample_NEB_Lib_68_fastq	14375385	4764234	4595928	0.964673	0.0231947
sample_NEB_Lib_69_fastq	14760263	1660299	1457089	0.877606	0.0404059
sample_NEB_Lib_70_fastq	13963001	2020534	1808594	0.895107	0.0336936
sample_NEB_Lib_71_fastq	14416895	3750804	3589444	0.95698	0.0246448
sample_NEB_Lib_72_fastq	14827585	1955438	1748783	0.894318	0.0377228
sample_NEB_Lib_73_fastq	14220050	2295150	2121987	0.924553	0.0363904
sample_NEB_Lib_74_fastq	14263385	2237479	2037834	0.910772	0.0336362
sample_NEB_Lib_75_fastq	15673397	2569732	2352899	0.91562	0.0339075
sample_NEB_Lib_76_fastq	13422204	2267395	2105096	0.928421	0.0311321
sample_NEB_Lib_77_fastq	13200692	3063771	2849935	0.930205	0.0308347
sample_NEB_Lib_78_fastq	16576788	5913664	5742923	0.971128	0.01994
sample_NEB_Lib_79_fastq	14846110	2914470	2578519	0.88473	0.0390414
sample_NEB_Lib_80_fastq	11415738	5261603	5144841	0.977809	0.0192923
sample_NEB_Lib_81_fastq	14716937	2678334	2374147	0.886427	0.0400527
sample_NEB_Lib_82_fastq	14417099	4160592	3978039	0.956123	0.02741
sample_NEB_Lib_83_fastq	15258429	3771949	3603141	0.955246	0.0369611
sample_NEB_Lib_84_fastq	13492783	5449168	5321990	0.976661	0.0210515
sample_NEB_Lib_85_fastq	14099949	5342315	5162821	0.966401	0.020772
sample_NEB_Lib_86_fastq	13058181	2184123	2002741	0.916954	0.0307544
sample_NEB_Lib_87_fastq	17991528	4911478	4753380	0.967811	0.0209409
sample_NEB_Lib_88_fastq	15220967	3845133	3610844	0.939069	0.0263182
