	InputReads	GenomeReads	TranscriptomeReads	TranscriptomeGenomeRatio	TranscriptomeComplexity
sample_Neptune_Urine_33-10_fastq	211422	23	17	0.73913	0.294118
sample_Neptune_Urine_33-11_fastq	11981	7	1	0.142857	1
sample_Neptune_Urine_33-12_fastq	129899	44	9	0.204545	0.555556
sample_Neptune_Urine_33-13_fastq	72870	2807	2561	0.912362	0.102694
sample_Neptune_Urine_33-14_fastq	1553184	304	39	0.128289	0.538462
sample_Neptune_Urine_33-15_fastq	2657020	930	406	0.436559	0.184729
sample_Neptune_Urine_33-17_fastq	1482628	340	77	0.226471	0.363636
sample_Neptune_Urine_33-18_fastq	1232846	1185	1003	0.846414	0.113659
sample_Neptune_Urine_33-19_fastq	210946	31	13	0.419355	0.384615
sample_Neptune_Urine_33-1_fastq	2367434	172	83	0.482558	0.26506
sample_Neptune_Urine_33-20_fastq	274051	103	30	0.291262	0.5
sample_Neptune_Urine_33-21_fastq	4616786	518	254	0.490347	0.204724
sample_Neptune_Urine_33-22_fastq	195770	86	10	0.116279	0.9
sample_Neptune_Urine_33-23_fastq	49947	9	9	1	0.333333
sample_Neptune_Urine_33-24_fastq	133868	10	0	0	0
sample_Neptune_Urine_33-2_fastq	1773366	351	112	0.319088	0.258929
sample_Neptune_Urine_33-3_fastq	4853107	681	380	0.558003	0.255263
sample_Neptune_Urine_33-4_fastq	331501	90	24	0.266667	0.625
sample_Neptune_Urine_33-5_fastq	120068	14	7	0.5	0.571429
sample_Neptune_Urine_33-6_fastq	268745	35	10	0.285714	0.7
sample_Neptune_Urine_33-7_fastq	270106	25	17	0.68	0.235294
sample_Neptune_Urine_33-8_fastq	1721524	387	199	0.514212	0.266332
sample_Neptune_Urine_33-9_fastq	51174657	20018	2967	0.148217	0.166161
sample_Neptune_Urine_35-10_fastq	683675	99	29	0.292929	0.517241
sample_Neptune_Urine_35-11_fastq	85499	36	24	0.666667	0.416667
sample_Neptune_Urine_35-12_fastq	52831	13	3	0.230769	0.666667
sample_Neptune_Urine_35-13_fastq	103413	1713	1640	0.957385	0.12378
sample_Neptune_Urine_35-15_fastq	276788	51	35	0.686275	0.285714
sample_Neptune_Urine_35-16_fastq	21080909	1807	481	0.266187	0.22869
sample_Neptune_Urine_35-17_fastq	24594034	1282	901	0.702808	0.099889
sample_Neptune_Urine_35-18_fastq	1645152	1194	975	0.816583	0.0769231
sample_Neptune_Urine_35-19_fastq	74733	37	5	0.135135	0.8
sample_Neptune_Urine_35-1_fastq	1221644	261	58	0.222222	0.293103
sample_Neptune_Urine_35-20_fastq	270716	107	21	0.196262	0.619048
sample_Neptune_Urine_35-21_fastq	2117994	608	173	0.284539	0.381503
sample_Neptune_Urine_35-22_fastq	4782095	1274	158	0.124019	0.234177
sample_Neptune_Urine_35-23_fastq	560692	548	473	0.863139	0.0845666
sample_Neptune_Urine_35-24_fastq	326511	71	33	0.464789	0.181818
sample_Neptune_Urine_35-2_fastq	1450161	466	162	0.347639	0.283951
sample_Neptune_Urine_35-3_fastq	6465982	1531	595	0.388635	0.282353
sample_Neptune_Urine_35-4_fastq	3573785	275	165	0.6	0.587879
sample_Neptune_Urine_35-5_fastq	1376585	215	89	0.413953	0.303371
sample_Neptune_Urine_35-6_fastq	1044962	157	27	0.171975	0.62963
sample_Neptune_Urine_35-7_fastq	1493018	251	169	0.673307	0.266272
sample_Neptune_Urine_35-8_fastq	1455951	428	240	0.560748	0.283333
sample_Neptune_Urine_35-9_fastq	12571096	9869	8824	0.894113	0.0617634
sample_Neptune_Urine_36-10_fastq	312918	141	46	0.326241	0.391304
sample_Neptune_Urine_36-11_fastq	569153	127	85	0.669291	0.223529
sample_Neptune_Urine_36-12_fastq	371920	271	72	0.265683	0.472222
sample_Neptune_Urine_36-14_fastq	703933	754	213	0.282493	0.258216
sample_Neptune_Urine_36-16_fastq	592027	555	79	0.142342	0.329114
sample_Neptune_Urine_36-17_fastq	1901047	1335	832	0.623221	0.21875
sample_Neptune_Urine_36-18_fastq	13346293	4273	3827	0.895624	0.062451
sample_Neptune_Urine_36-19_fastq	1155945	332	90	0.271084	0.355556
sample_Neptune_Urine_36-1_fastq	4032491	794	401	0.505038	0.142145
sample_Neptune_Urine_36-20_fastq	3873431	2023	1730	0.855166	0.0699422
sample_Neptune_Urine_36-21_fastq	39170451	7544	4087	0.541755	0.0660631
sample_Neptune_Urine_36-22_fastq	781141	433	175	0.404157	0.291429
sample_Neptune_Urine_36-23_fastq	2019250	4843	4526	0.934545	0.0397702
sample_Neptune_Urine_36-24_fastq	641301	412	281	0.682039	0.234875
sample_Neptune_Urine_36-2_fastq	448461	529	123	0.232514	0.276423
sample_Neptune_Urine_36-3_fastq	974770	653	338	0.517611	0.239645
sample_Neptune_Urine_36-4_fastq	892456	443	185	0.417607	0.540541
sample_Neptune_Urine_36-5_fastq	228399	53	45	0.849057	0.488889
sample_Neptune_Urine_36-6_fastq	3277780	631	47	0.0744849	0.659574
sample_Neptune_Urine_36-7_fastq	1738003	1331	477	0.358377	0.115304
sample_Neptune_Urine_36-8_fastq	2052810	1453	957	0.658637	0.193312
sample_Neptune_Urine_36-9_fastq	498158	371	88	0.237197	0.545455
sample_Neptune_Urine_37-10_fastq	186241	74	29	0.391892	0.482759
sample_Neptune_Urine_37-11_fastq	7931	3	3	1	0.666667
sample_Neptune_Urine_37-1_fastq	62450786	2365	1617	0.683721	0.113791
sample_Neptune_Urine_37-2_fastq	1637552	626	149	0.238019	0.221477
sample_Neptune_Urine_37-3_fastq	740653	531	128	0.241055	0.34375
sample_Neptune_Urine_37-4_fastq	254143	137	72	0.525547	0.388889
sample_Neptune_Urine_37-5_fastq	293479	178	40	0.224719	0.3
sample_Neptune_Urine_37-6_fastq	151084	58	26	0.448276	0.5
sample_Neptune_Urine_37-7_fastq	3267079	1894	143	0.0755016	0.237762
sample_Neptune_Urine_37-8_fastq	8542593	1701	1191	0.700176	0.155332
sample_Neptune_Urine_37-9_fastq	5435443	7342	6240	0.849905	0.0745192
