	InputReads	GenomeReads	TranscriptomeReads	TranscriptomeGenomeRatio	TranscriptomeComplexity
sample_Sample_1S10_fastq	11362190	5690642	5533791	0.972437	0.0138527
sample_Sample_1S11_fastq	13437632	6518820	6314273	0.968622	0.0139313
sample_Sample_1S12_fastq	13905951	6818395	6651842	0.975573	0.0139306
sample_Sample_1S13_fastq	12271219	7265775	7162293	0.985758	0.0141371
sample_Sample_1S14_fastq	13619701	7356040	7245089	0.984917	0.0148694
sample_Sample_1S15_fastq	10513567	5904071	5813278	0.984622	0.0151135
sample_Sample_1S16_fastq	12163369	6831606	6720209	0.983694	0.0147202
sample_Sample_1S17_fastq	14295035	7798426	7652658	0.981308	0.0150417
sample_Sample_1S18_fastq	11950533	5116266	4993390	0.975983	0.0177198
sample_Sample_1S19_fastq	12031059	7025427	6916202	0.984453	0.0135139
sample_Sample_1S1_fastq	11891621	6133322	5980854	0.975141	0.0160235
sample_Sample_1S20_fastq	13059658	8615978	8478760	0.984074	0.0126444
sample_Sample_1S21_fastq	12165220	6707482	6618422	0.986722	0.0142492
sample_Sample_1S22_fastq	12295539	7205890	7077508	0.982184	0.0141161
sample_Sample_1S23_fastq	13124200	8244110	8090341	0.981348	0.0139848
sample_Sample_1S24_fastq	12074804	8155668	8066478	0.989064	0.0124463
sample_Sample_1S25_fastq	14333827	8388426	8207671	0.978452	0.0132449
sample_Sample_1S2_fastq	14057710	6344878	6166834	0.971939	0.0164885
sample_Sample_1S3_fastq	12971633	6105768	5934111	0.971886	0.0161532
sample_Sample_1S4_fastq	11029618	5971736	5775834	0.967195	0.0167191
sample_Sample_1S5_fastq	13230579	6682656	6441943	0.963979	0.0158631
sample_Sample_1S6_fastq	12301971	6319155	6134385	0.97076	0.0160269
sample_Sample_1S7_fastq	12485738	6041502	5892532	0.975342	0.0146289
sample_Sample_1S8_fastq	12857943	5542531	5377391	0.970205	0.0157939
sample_Sample_1S9_fastq	12549776	5437787	5297655	0.97423	0.0160397
sample_Sample_2S10_fastq	11703900	5559855	5410030	0.973052	0.0168056
sample_Sample_2S11_fastq	16181403	8615727	8421002	0.977399	0.0129428
sample_Sample_2S12_fastq	13310038	6249549	6083658	0.973456	0.0149071
sample_Sample_2S13_fastq	14282694	8819995	8663861	0.982298	0.0147151
sample_Sample_2S14_fastq	14277504	8632444	8493806	0.98394	0.0133121
sample_Sample_2S15_fastq	11530347	7293786	7188904	0.98562	0.0148501
sample_Sample_2S16_fastq	11706993	5344698	5191638	0.971362	0.0191182
sample_Sample_2S17_fastq	13568581	8576772	8441669	0.984248	0.0131167
sample_Sample_2S18_fastq	12832063	8348452	8226290	0.985367	0.0134115
sample_Sample_2S19_fastq	11301352	6486659	6297779	0.970882	0.0186177
sample_Sample_2S1_fastq	12166490	6413531	6250713	0.974613	0.0170752
sample_Sample_2S20_fastq	14217755	8061431	7916706	0.982047	0.0138225
sample_Sample_2S21_fastq	12839204	6702311	6565384	0.97957	0.0152086
sample_Sample_2S22_fastq	11445216	7481454	7358414	0.983554	0.0144353
sample_Sample_2S23_fastq	12858256	8288858	8172167	0.985922	0.0123079
sample_Sample_2S24_fastq	12296856	8150175	8047824	0.987442	0.0128009
sample_Sample_2S25_fastq	14573048	8317780	8104266	0.97433	0.0130149
sample_Sample_2S2_fastq	10793648	4981733	4827810	0.969103	0.0172001
sample_Sample_2S3_fastq	15267497	7905481	7680809	0.97158	0.0145032
sample_Sample_2S4_fastq	9177404	4370923	4230028	0.967765	0.0212025
sample_Sample_2S5_fastq	11571067	5653284	5429600	0.960433	0.0170532
sample_Sample_2S6_fastq	13130107	6193606	5951059	0.960839	0.0162275
sample_Sample_2S7_fastq	12059480	5483120	5292712	0.965274	0.0187135
sample_Sample_2S8_fastq	10787468	6058866	5905496	0.974687	0.0157323
sample_Sample_2S9_fastq	11058670	6111066	5926185	0.969747	0.016787
sample_Sample_3S10_fastq	13028453	7956368	7690197	0.966546	0.0146454
sample_Sample_3S11_fastq	14945695	7922323	7751311	0.978414	0.0135639
sample_Sample_3S12_fastq	10949342	5589319	5151121	0.921601	0.0236679
sample_Sample_3S13_fastq	13117350	8855662	8730052	0.985816	0.0127176
sample_Sample_3S14_fastq	14062049	6765497	6640258	0.981489	0.0151542
sample_Sample_3S15_fastq	12851015	5001507	4901539	0.980012	0.0168927
sample_Sample_3S16_fastq	12720190	6354044	6212180	0.977673	0.0148949
sample_Sample_3S17_fastq	13344674	7235590	7106368	0.982141	0.0129747
sample_Sample_3S18_fastq	13283153	8280616	8147141	0.983881	0.0135017
sample_Sample_3S19_fastq	12253882	8036364	7913979	0.984771	0.0129112
sample_Sample_3S1_fastq	12039735	6052018	5799636	0.958298	0.017782
sample_Sample_3S20_fastq	12839875	7048284	6914352	0.980998	0.0136147
sample_Sample_3S21_fastq	12572629	7885935	7771189	0.985449	0.012097
sample_Sample_3S22_fastq	11556410	7709755	7619344	0.988273	0.0122682
sample_Sample_3S23_fastq	13488682	8722509	8611107	0.987228	0.0120503
sample_Sample_3S24_fastq	11587826	5277348	5147937	0.975478	0.0157834
sample_Sample_3S25_fastq	13243099	7937531	7804349	0.983221	0.0127194
sample_Sample_3S2_fastq	14393509	5939925	5759037	0.969547	0.0151902
sample_Sample_3S3_fastq	12696001	6317213	6079111	0.962309	0.0171931
sample_Sample_3S4_fastq	12090541	5942070	5627257	0.94702	0.0184363
sample_Sample_3S5_fastq	11995285	4779474	4548115	0.951593	0.0170574
sample_Sample_3S6_fastq	10160165	5289057	5141345	0.972072	0.0162992
sample_Sample_3S7_fastq	10988294	4669253	4547654	0.973958	0.016576
sample_Sample_3S8_fastq	11730740	3479984	3290870	0.945657	0.0214421
sample_Sample_3S9_fastq	13523922	7732490	7587928	0.981305	0.0125925
sample_Sample_4S10_fastq	13755666	7173958	6998464	0.975537	0.0145658
sample_Sample_4S11_fastq	12993479	7841922	7711945	0.983425	0.0115028
sample_Sample_4S12_fastq	10911541	5206387	5002164	0.960775	0.0187057
sample_Sample_4S13_fastq	12049829	7846078	7739394	0.986403	0.0135747
sample_Sample_4S14_fastq	11205406	5915183	5824809	0.984722	0.0152939
sample_Sample_4S15_fastq	12514948	7319189	7173450	0.980088	0.0155827
sample_Sample_4S16_fastq	16226923	11268666	11033882	0.979165	0.0123355
sample_Sample_4S17_fastq	13037097	7695257	7549335	0.981037	0.0144076
sample_Sample_4S18_fastq	11359487	5251216	5111785	0.973448	0.0197723
sample_Sample_4S19_fastq	12612420	7029725	6894260	0.98073	0.0141484
sample_Sample_4S1_fastq	14047011	6371596	6203803	0.973665	0.0149769
sample_Sample_4S20_fastq	11927690	7286157	7183926	0.985969	0.0136892
sample_Sample_4S21_fastq	12250929	8330982	8174817	0.981255	0.0142313
sample_Sample_4S22_fastq	11729502	6439718	6321229	0.9816	0.0145122
sample_Sample_4S23_fastq	10915469	8368413	8241454	0.984829	0.0139765
sample_Sample_4S24_fastq	10862651	6409089	6276151	0.979258	0.0167131
sample_Sample_4S25_fastq	12129477	7232454	7122540	0.984803	0.0138699
sample_Sample_4S2_fastq	12241224	6742866	6585956	0.976729	0.0149854
sample_Sample_4S3_fastq	14134682	4349720	4144507	0.952822	0.0231504
sample_Sample_4S4_fastq	12665973	5563332	5394868	0.969719	0.0193586
sample_Sample_4S5_fastq	10785436	5740424	5484574	0.95543	0.0185037
sample_Sample_4S6_fastq	9988411	4835573	4589493	0.94911	0.0223933
sample_Sample_4S7_fastq	13116102	6906819	6763598	0.979264	0.0135462
sample_Sample_4S8_fastq	12064839	8457188	8354400	0.987846	0.010852
sample_Sample_4S9_fastq	13515478	8342057	8159981	0.978174	0.0141227
sample_Sample_N10_fastq	12605343	6734736	6552887	0.972998	0.015846
sample_Sample_N11_fastq	12883651	7345357	7150774	0.973509	0.0147978
sample_Sample_N12_fastq	13094558	5955742	5804035	0.974528	0.0156577
sample_Sample_N13_fastq	12097641	6095531	5908067	0.969246	0.015454
sample_Sample_N14_fastq	10607872	4688886	4548683	0.970099	0.0179421
sample_Sample_N15_fastq	11099261	4884907	4743958	0.971146	0.0170408
sample_Sample_N16_fastq	12927400	6127339	5959012	0.972529	0.0158159
sample_Sample_N17_fastq	12845407	5921280	5755578	0.972016	0.0150671
sample_Sample_N18_fastq	12485171	4797896	4606563	0.960121	0.0170672
sample_Sample_N19_fastq	12846810	6062327	5880278	0.96997	0.0151797
sample_Sample_N1_fastq	12939064	7403433	7191891	0.971426	0.0145522
sample_Sample_N20_fastq	12382962	6275032	6090418	0.97058	0.0155083
sample_Sample_N21_fastq	12092269	6968106	6810823	0.977428	0.0130989
