	sample_SM11_norm1_sequence_fastq	sample_SM12_norm2_sequence_fastq	sample_SM13_norm3_sequence_fastq	sample_SM1_crc1_sequence_fastq	sample_SM2_crc2_sequence_fastq	sample_SM3_crc3_sequence_fastq	sample_SM6_uc1_sequence_fastq	sample_SM7_uc2_sequence_fastq	sample_SM8_uc3_sequence_fastq
hsa-miR-1-3p	26687.209617933	332.034541653985	589.397261152309	233.798332238563	334.20365535248	474.965875199507	5517.02999885062	3628.23114435367	809.43510769119
hsa-let-7b-5p	25560.6070282439	23000.9382491215	20437.7815974885	5544.36045022879	23125.3263707572	23752.572731824	9944.88443245196	11779.7987739447	53241.9778581448
hsa-miR-184	24266.3611834017	133.316899300464	118.372671695861	289.464601819174	83.5509138381201	85.5794369728842	1652.91970203659	334.668465731012	124.528478106337
hsa-let-7f-5p	20150.1205434835	7553.78582262815	10877.9553093842	9440.99932087151	7582.2454308094	7560.94325655431	3601.39458258304	4664.10972875918	12823.8389016588
hsa-let-7a-5p	20071.2882985008	13336.7207564351	16277.4754068444	5009.96426225493	12587.4673629243	15434.2514580597	6649.07930913065	5986.84699807698	22440.6371015305
hsa-miR-143-3p	19017.5306946817	10871.6158259737	13102.3750983356	20685.5857761548	14595.3002610966	7376.94746706261	3147.1153267253	1811.45947324246	2015.80473934633
hsa-miR-486-5p	13589.0824325835	9420.22241283464	10000.0246609733	7693.07845604035	8793.73368146214	18322.5574558945	4055.67383844078	3750.41169533483	47281.9065309998
hsa-miR-378a-3p	11873.4000713149	20784.0207538358	13502.2938815303	8426.01767218505	21378.590078329	7248.57831160329	2886.22402717648	5381.25644103992	10170.2581025665
hsa-miR-451a	11258.0428847413	15409.4212285781	39440.2945506647	25985.0146402289	39221.9321148825	48489.3089888362	16540.1435084589	5290.94907727123	99627.9711716573
hsa-miR-423-5p	10553.542062491	3702.6882220808	1987.67444555967	17924.5388049565	4532.63707571802	3996.55970663369	864.772559343649	2050.50837733604	8042.46421103426
hsa-miR-24-3p	6965.17810100107	4293.81032275267	4500.62762176972	2003.98570490197	4992.16710182768	4274.69287679556	1981.31434482532	2857.96245338546	2202.59745650583
hsa-miR-122-5p	6091.03827056025	1247.64494439679	4130.71302272016	189.265316574075	3911.227154047	1711.58873945768	946.87122004083	8063.91636475675	8771.47467661511
hsa-miR-148a-3p	5815.62435138026	1466.4858923051	4096.1876601422	1168.99166119282	4287.20626631854	3521.59383143418	1171.27422594646	2677.34772584809	3261.0895204097
hsa-miR-146a-5p	5481.33571759296	3417.18882452226	3704.07818514965	556.662695806103	3535.24804177546	3401.78261967215	1417.57020803801	2401.11343667329	1835.49788042153
hsa-miR-103a-3p	4989.38259384031	1780.91254159865	2125.77589587151	851.693924583338	2026.10966057441	1807.86560605218	881.192291483085	1258.99089489285	1777.12515630918
hsa-let-7g-5p	4864.6480289943	2832.35525683626	3139.34189726732	690.261742799568	3023.49869451697	3106.53356211569	1269.79261878308	1529.91298619891	3258.49517711582
hsa-miR-151a-3p	4715.96442769786	2716.64624989624	2475.9617163051	311.731109651418	3242.81984334204	2310.64479826787	716.994970088721	2023.94738799231	2519.10733835944
hsa-miR-21-5p	3973.54429773442	3275.06797904158	5329.23632364075	1335.99046993465	4459.53002610966	4017.95456587691	2725.67553514644	3601.67015500993	5520.76252938094
hsa-miR-140-3p	3340.89058483547	3735.38859360733	5430.34631404763	3395.64244441723	5885.11749347259	5481.36293811323	1943.00163649997	1195.2445204679	13952.3782344975
hsa-miR-146b-5p	3329.91394312902	2398.44648081117	2434.03806174614	345.130871399784	2281.98433420366	2023.95368440871	886.665535529564	2018.63519012356	1007.90236967316
hsa-miR-30d-5p	3195.20061309533	2882.66352072323	3378.55333798604	957.459836786498	4986.94516971279	3354.71392933706	1713.12538654786	1768.96189029249	2817.45681715587
hsa-miR-191-5p	3087.42994906838	1524.34039577511	2081.38614398556	823.860789793033	2678.85117493473	1827.12097937108	744.361190321115	844.639461130648	1873.11585818282
hsa-miR-320a	2988.14123545096	2435.758443194	2212.50031853757	3015.25626894972	2391.64490861619	1847.44609565214	483.013787101753	1035.87858440551	2505.48703606656
hsa-miR-126-3p	2802.03726470072	1617.410683966	1963.0134722897	489.863172309371	2052.21932114883	1818.56303567379	1428.51669613096	1907.07903487989	1769.34212642754
hsa-let-7i-5p	2501.67643255153	2331.78803116094	2567.20731740399	1536.38904042485	2715.4046997389	3423.17747891537	640.369553438018	887.137044080618	8374.54015265116
hsa-miR-223-3p	2462.75924831958	1219.97539925896	3050.56239349542	2627.44792420481	3315.92689295039	1544.70883736056	530.904672508442	573.717369824591	358.019374555719
hsa-miR-30e-5p	2380.9333737806	1866.43659020649	2934.65581912656	946.326582870376	2892.95039164491	2640.12563061348	1428.51669613096	924.322429161841	2210.38048638748
hsa-miR-744-5p	2229.25614292785	1428.75469438987	1099.87940784071	378.53063314815	1571.80156657963	1313.64435753377	470.698987997176	940.25902276808	754.953898519668
hsa-miR-101-3p	2171.3793048393	1411.14680202944	2473.4956189781	3362.24268266886	2417.7545691906	3453.13028185588	1488.72238064223	945.571220636826	9453.78696290608
hsa-let-7c-5p	2057.28875619349	615.018526018176	789.151144639074	72.3661504547934	485.639686684073	402.223353772556	640.369553438018	247.017200896699	539.62340512746
hsa-miR-192-5p	1817.13314067664	733.24294615255	2120.84370121751	556.662695806103	1407.31070496084	1439.87402706878	454.279255857739	1407.73243521775	3743.63737307175
hsa-miR-16-5p	1628.53447862948	1277.82990272897	2404.44489382218	2482.71562329522	2031.3315926893	2267.85507978143	1089.17556524928	515.283193268383	8410.86095876551
hsa-miR-185-5p	1474.86149473919	772.231850664949	764.490171369103	1013.12610636711	751.958224543081	928.536891155793	120.411369022533	393.10264228722	1675.94576784778
hsa-miR-148b-3p	1458.89547043891	973.464906212819	754.625782061115	333.997617483662	1691.90600522193	1215.22800501495	481.645476090133	913.698033424349	1551.41728974145
hsa-miR-26a-5p	1325.18001692399	679.16156247406	1242.91305280654	712.528250631812	1013.05483028721	808.725679393755	399.546815392952	313.419674256027	944.340958973055
hsa-miR-93-5p	1241.35838934747	1011.19610412804	1139.33696507266	356.264125315906	1242.81984334204	1369.27099156615	613.003333205624	525.907589005875	1984.67261981975
hsa-miR-182-5p	1151.54950265834	920.641229131503	332.923139144609	389.663887064272	506.527415143603	1685.91490836582	596.583601066188	249.673299831072	1151.88842248362
hsa-miR-92a-3p	1107.64293583255	812.478461774523	1294.70109667348	924.060075038131	1091.38381201044	1887.0265852521	777.200654599988	679.961327199515	3172.88184841771
hsa-miR-144-5p	945.986939792122	1031.31940968283	1265.10792874952	467.596664477127	971.279373368146	1938.37424743583	689.628749856327	260.297695568565	773.114301576842
hsa-miR-181a-5p	945.986939792122	827.570940940614	1509.25156412223	411.930394896516	1420.36553524804	1377.82893526343	388.600327299994	297.483080649788	882.076719919887
