	sample_FHS_1020_CVD_BC_12_fastq	sample_FHS_1066_No_CVD_BC_11_fastq	sample_FHS_1095_No_CVD_BC_13_fastq	sample_FHS_1120_No_CVD_BC_01_fastq	sample_FHS_1579_CVD_BC_10_fastq	sample_FHS_1610_CVD_BC_04_fastq	sample_FHS_172_CVD_BC_14_fastq	sample_FHS_216_N0_CVD_BC_03_fastq	sample_FHS_21_No_CVD_BC_01_fastq	sample_FHS_2303_No_CVD_BC_07_fastq	sample_FHS_2616_No_CVD_BC_05_fastq	sample_FHS_2768_CVD_BC_02_fastq	sample_FHS_2918_No_CVD_BC01_fastq	sample_FHS_2938_CVD_BC_04_fastq	sample_FHS_3132_N0_CVD_BC_05_fastq	sample_FHS_3170_No_CVD_BC_07_fastq	sample_FHS_320_No_CVD_BC_07_fastq	sample_FHS_3392_CVD_BC_02_fastq	sample_FHS_3464_No_CVD_BC_03_fastq	sample_FHS_3713_CVD_BC_06_fastq	sample_FHS_4043_CVD_BC_04_fastq	sample_FHS_4820_No_CVD_BC_13_fastq	sample_FHS_4912_CVD_BC_02_fastq	sample_FHS_500_No_CVD_BC_09_fastq	sample_FHS_5237_CVD_BC_06_fastq	sample_FHS_543_CVD_BC_16_fastq	sample_FHS_590_N0_CVD_BC_15_fastq	sample_FHS_6077_No_CVD_BC_09_fastq	sample_FHS_6136_CVD_BC_08_fastq	sample_FHS_6355_CVD_BC_08_fastq	sample_FHS_6684_CVD_BC_16_fastq	sample_FHS_6758_CVD_BC_14_fastq	sample_FHS_676_CVD_BC_06_fastq	sample_FHS_6926_No_CVD_BC_03_fastq	sample_FHS_7138_CVD_BC_12_fastq	sample_FHS_7226_No_CVD_BC_15_fastq	sample_FHS_728_CVD_BC_08_fastq	sample_FHS_7326_No_CVD_BC_11_fastq
hsa-miR-451a	243433.636036298	178374.695488408	54772.5310090687	16924.7173773488	80495.2176633593	235126.565221189	91926.1228409581	49766.5068031284	326444.164784254	135829.801825575	182455.355253052	195799.913723005	271325.223150014	104058.956732057	31004.2812771078	148671.993090045	195065.552899666	218661.387282045	65308.9551524434	17586.178345707	73419.2064944511	123167.62341612	31998.7913582112	114012.641839921	56876.3477162336	102150.493251331	130529.657926918	154874.504221467	74436.7852520931	169392.127833686	93540.079197155	43720.115220419	149527.391701747	74178.896896488	123631.103507644	99295.7306958273	103375.615829896	55853.049386363
hsa-miR-223-3p	57791.600736001	104337.402058145	111868.635134189	108517.305537119	98600.6484799727	55977.160827697	106261.743378474	95653.4343351588	38563.9934416598	74640.6061893634	57776.6220571961	69411.7512321195	49676.5867302867	47366.6696426397	107838.747889676	66714.4343456155	66505.9943722027	83875.5357578632	31876.7051165462	87478.2656694174	99387.6258182586	62270.026764667	45611.1195044569	24148.9604752113	81897.584456884	75122.7968795146	109813.424881918	91419.6939073366	55473.6814304202	53234.8844037156	64506.7272742559	101983.295518884	92680.8157902682	178396.016300489	77995.7720848634	76531.8021607665	38215.8741941084	105593.898541773
hsa-miR-19b-3p	31633.5058817311	24820.5068872648	20261.2463791418	5744.93781757646	14582.6730702032	27160.5488984672	25959.9994432769	21468.7698910365	24065.7739595781	21375.4057972635	19799.1061979548	24989.7880105518	25394.0260238849	24089.1493316235	17801.3450112395	14399.0106201292	19423.8141011467	24925.844581241	15794.7637964869	15472.0834598294	19591.2812932592	14718.2870613125	8400.06043208944	15726.1442388242	17419.5726514343	10740.0833780493	14265.199196706	20174.9179985419	11847.9782373293	19749.7548146899	21037.9703557146	13084.2125709279	21113.8935220046	22549.3342670129	33392.9018971135	30507.9345266055	12984.0587604983	23318.2050111448
hsa-miR-486-5p	29709.2664105419	7430.40423713017	5513.29960348847	3090.08018975704	7935.34703430118	12743.8789791514	7693.91362440674	6532.76782394424	9543.73483979309	7789.81658522768	10619.1907402592	14612.8797046731	12989.6617443407	10721.6193622219	6370.61495555493	6134.54781021181	7864.48599218439	10060.3898358098	7131.57516871679	4211.63028178732	7076.32387790057	7026.29503143823	6602.20577126454	12405.7573680603	4982.46607566814	4812.81215173154	7926.35724142573	10394.9212357146	4257.45450703853	8254.46799472773	6978.09327104428	2863.97956779945	6362.43946578931	3963.2752701349	18753.2009022458	16011.943671595	7033.78010308229	8287.45602492145
hsa-miR-29b-3p	29032.8921071496	41056.8400213399	47889.9829621927	31433.9495359439	73270.923230698	21644.5207732755	62741.3046806497	18411.9311557441	58518.8949276081	70447.5230992288	83227.0003205109	12510.1642698714	18475.8614070448	101628.127815338	66961.4125416235	88038.1225339118	17392.5237342693	53697.803349797	136648.638299909	50705.1582811249	56024.0257150231	48835.258231161	120728.206677746	108061.076841063	80884.7552874039	74028.9759359392	44144.7051036092	12137.6683779413	69696.0092966748	26892.2996195723	67927.1139559063	63774.1712849887	15073.5102385503	46817.7087892316	61825.0863562563	76284.6180882899	82160.5377998336	72621.3175067809
hsa-miR-23a-3p	15410.43284652	35827.918008446	37645.2557356728	31341.4647415322	20297.5044085261	28167.011447466	35375.5793400047	35514.5988391512	18811.5588761895	27741.4377243299	22106.1798126523	25038.6528572574	22038.634774382	19142.2704510222	31398.363973846	19601.1071631888	23940.24945712	28350.9140965756	19264.8255396544	29790.5224519085	29978.1797705357	26564.0459786886	19859.4953920532	12687.5333181022	34370.8479449369	22999.1331984975	31032.2776076201	28837.121793781	22415.0225814119	18940.1747843306	25348.1339906006	27916.5685144088	36715.7771846983	43851.3309796827	27115.0472371446	24415.3809262587	19119.909488719	40011.2791041169
hsa-miR-16-5p	14794.3458741993	6074.16263329412	5183.9538604767	3791.87657088143	6115.05237410306	10192.8727954009	7905.46841292154	6158.42245568041	9726.35206218513	7350.00875888468	8109.53005847812	10186.0299984348	9477.02000466181	8173.10423751512	7135.46184626578	5506.37011444612	6445.89936530177	12401.0545020846	5719.61901115206	4377.22518146441	9206.72907721546	7099.24812715725	7493.57909049705	6640.77374152768	3898.84777068676	6711.52020473026	7258.81547799356	6900.43480486351	6021.70984866492	11625.2194174272	7659.08791556787	3839.3030569779	6014.76517804126	5621.52909481711	13149.5788429896	10889.2385416632	5483.35538248798	9152.18734054838
hsa-miR-191-5p	8970.42452191321	6496.78294349422	13667.8483349887	16054.2722534736	8199.45228633885	6075.01909769657	9906.8880568971	10806.8592171518	7812.84116668585	7700.36414597147	8650.77013322367	8402.46309367926	4964.31656451812	6468.68329423987	11654.5876822341	7449.79486072123	6337.67249384969	11060.5857504735	5731.58474130091	11216.2945381282	10778.7241031416	8316.65291196841	6103.64103338873	3864.89985530424	12595.0208011152	9865.026623189	7651.4871035419	10067.0537439839	7379.23566542535	7423.64898209054	9856.20643946294	8397.70055089246	7565.1180216967	18795.164317879	11103.7255777969	10118.1227806812	4890.72199507935	7992.05091709859
hsa-miR-19a-3p	7827.44279310379	7864.27299665118	5391.41574583844	2317.56014231778	3506.50511551557	8064.71098819196	7362.66336344278	6719.31029701847	5942.99960697598	6343.66881725239	5327.73749554006	6762.43667612151	7182.10549408361	6704.05571021597	4780.29306694276	4829.11603619874	5609.17763869914	6355.19672238205	4594.84037715981	3665.16711285292	5138.31209966918	4459.25797582517	2961.17238253513	4576.9552966263	4748.31739670231	4185.41296900153	5934.95114043059	6039.95556496272	3544.35728811769	5243.52991885459	5596.48685231945	3624.40127122672	6112.66293801242	5835.49733025997	8376.82928158133	8157.8956012732	3603.6898911111	6345.83881623117
hsa-miR-15a-5p	7675.48568464936	3766.62360117498	2709.97087753784	1806.17363204109	3701.53668625109	8134.4106106988	4801.73697615833	4718.39018887425	5264.13993243163	3988.08791683905	4305.73109741717	5837.82215486339	6554.81743518023	5462.26330868687	2602.34490863811	3209.59541430282	4188.26355221539	6458.30970327521	10517.8768008424	2323.8484254685	4218.57769644072	3355.84240307497	3278.44085209246	3754.47414515269	2793.44819324345	3417.6744953977	4908.39531935422	4298.2459780896	2593.56099622323	4956.17898215301	4918.29465489265	2202.74330394965	4053.15024927331	2995.55529620012	6862.18958058646	5902.85419588804	2723.71910374676	4259.20455460966
