	sample_Neptune_Urine_33-10_fastq	sample_Neptune_Urine_33-11_fastq	sample_Neptune_Urine_33-12_fastq	sample_Neptune_Urine_33-13_fastq	sample_Neptune_Urine_33-14_fastq	sample_Neptune_Urine_33-15_fastq	sample_Neptune_Urine_33-17_fastq	sample_Neptune_Urine_33-18_fastq	sample_Neptune_Urine_33-19_fastq	sample_Neptune_Urine_33-1_fastq	sample_Neptune_Urine_33-20_fastq	sample_Neptune_Urine_33-21_fastq	sample_Neptune_Urine_33-22_fastq	sample_Neptune_Urine_33-23_fastq	sample_Neptune_Urine_33-24_fastq	sample_Neptune_Urine_33-2_fastq	sample_Neptune_Urine_33-3_fastq	sample_Neptune_Urine_33-4_fastq	sample_Neptune_Urine_33-5_fastq	sample_Neptune_Urine_33-6_fastq	sample_Neptune_Urine_33-7_fastq	sample_Neptune_Urine_33-8_fastq	sample_Neptune_Urine_33-9_fastq	sample_Neptune_Urine_35-10_fastq	sample_Neptune_Urine_35-11_fastq	sample_Neptune_Urine_35-12_fastq	sample_Neptune_Urine_35-13_fastq	sample_Neptune_Urine_35-15_fastq	sample_Neptune_Urine_35-16_fastq	sample_Neptune_Urine_35-17_fastq	sample_Neptune_Urine_35-18_fastq	sample_Neptune_Urine_35-19_fastq	sample_Neptune_Urine_35-1_fastq	sample_Neptune_Urine_35-20_fastq	sample_Neptune_Urine_35-21_fastq	sample_Neptune_Urine_35-22_fastq	sample_Neptune_Urine_35-23_fastq	sample_Neptune_Urine_35-24_fastq	sample_Neptune_Urine_35-2_fastq	sample_Neptune_Urine_35-3_fastq	sample_Neptune_Urine_35-4_fastq	sample_Neptune_Urine_35-5_fastq	sample_Neptune_Urine_35-6_fastq	sample_Neptune_Urine_35-7_fastq	sample_Neptune_Urine_35-8_fastq	sample_Neptune_Urine_35-9_fastq	sample_Neptune_Urine_36-10_fastq	sample_Neptune_Urine_36-11_fastq	sample_Neptune_Urine_36-12_fastq	sample_Neptune_Urine_36-14_fastq	sample_Neptune_Urine_36-16_fastq	sample_Neptune_Urine_36-17_fastq	sample_Neptune_Urine_36-18_fastq	sample_Neptune_Urine_36-19_fastq	sample_Neptune_Urine_36-1_fastq	sample_Neptune_Urine_36-20_fastq	sample_Neptune_Urine_36-21_fastq	sample_Neptune_Urine_36-22_fastq	sample_Neptune_Urine_36-23_fastq	sample_Neptune_Urine_36-24_fastq	sample_Neptune_Urine_36-2_fastq	sample_Neptune_Urine_36-3_fastq	sample_Neptune_Urine_36-4_fastq	sample_Neptune_Urine_36-5_fastq	sample_Neptune_Urine_36-6_fastq	sample_Neptune_Urine_36-7_fastq	sample_Neptune_Urine_36-8_fastq	sample_Neptune_Urine_36-9_fastq	sample_Neptune_Urine_37-10_fastq	sample_Neptune_Urine_37-11_fastq	sample_Neptune_Urine_37-1_fastq	sample_Neptune_Urine_37-2_fastq	sample_Neptune_Urine_37-3_fastq	sample_Neptune_Urine_37-4_fastq	sample_Neptune_Urine_37-5_fastq	sample_Neptune_Urine_37-6_fastq	sample_Neptune_Urine_37-7_fastq	sample_Neptune_Urine_37-8_fastq	sample_Neptune_Urine_37-9_fastq
hsa-miR-30a-5p	0	0	0	114356.96473103	0	0	0	0	0	0	0	0	0	0	0	0	0	22222.2222222222	0	0	0	0	0	0	0	0	183887.915936953	0	0	0	0	0	0	0	0	0	0	0	0	0	32727.2727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29345.3724604966	0	0	0	0	0	0	0	0	0	0	29197.0802919708	0	0	0	0	272.405339144647
hsa-let-7b-5p	0	0	0	103788.148675929	0	15053.7634408602	0	99578.05907173	0	0	0	0	0	0	0	5698.0056980057	0	0	0	0	0	0	0	0	0	0	91652.0723876241	0	0	0	161013.400335008	0	0	0	0	0	0	0	0	653.167864141084	32727.2727272727	0	0	0	0	0	0	0	0	1326.2599469496	0	749.063670411985	156388.95389656	0	0	0	0	0	412.967169110056	0	0	1531.39356814701	10158.0135440181	0	0	0	688.231245698555	0	0	0	0	0	0	0	0	0	0	1175.77895355673	1498.22936529556
hsa-let-7a-5p	0	0	0	58959.7434983969	0	2150.5376344086	0	23628.6919831224	0	0	0	0	0	0	0	0	0	11111.1111111111	0	0	0	0	0	0	0	0	37361.3543490952	0	0	0	8375.20938023451	0	0	0	0	0	0	0	0	0	3636.36363636364	0	0	0	0	0	0	0	0	0	0	0	10609.2518917232	0	0	0	0	0	0	0	0	0	4514.67268623025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-26a-5p	0	0	0	53081.581759886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33858.7273788675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4514.67268623025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-200a-3p	0	0	0	49162.8072675454	0	5376.34408602151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30356.1004086398	0	0	0	10887.7721943049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	702.082845775802	0	0	0	0	0	0	0	0	0	2257.33634311512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-99a-5p	0	0	0	42750.2671891699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17221.249270286	0	0	0	0	0	0	0	0	0	0	0	0	0	3636.36363636364	0	0	0	0	0	0	0	0	0	0	0	702.082845775802	0	0	0	0	0	0	0	0	0	2257.33634311512	0	0	0	0	0	0	0	0	0	0	14598.5401459854	0	0	0	0	0
hsa-let-7f-5p	0	0	0	38831.4926968294	0	6451.61290322581	0	5907.17299578059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10507.880910683	0	0	0	837.520938023451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7956.93891879242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10b-5p	0	0	0	26006.4125400784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15178.0502043199	0	0	0	0	0	0	0	0	0	0	0	0	0	10909.0909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29345.3724604966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7c-5p	0	0	0	25590.7849424059	0	1075.2688172043	0	5063.29113924051	0	0	0	0	0	0	0	0	0	11111.1111111111	0	0	0	0	0	0	0	0	11091.6520723876	0	0	0	6909.54773869347	0	0	0	0	0	0	0	0	0	3636.36363636364	0	0	0	0	303.982166379572	0	0	0	0	7207.20720720721	0	8249.47343786567	0	0	0	0	0	0	0	0	0	1128.66817155756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10a-5p	0	0	0	22443.8902743142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18680.6771745476	0	0	0	0	0	0	0	0	0	0	0	0	0	10909.0909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11286.6817155756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
