	sample_IYB1_R1_fastq	sample_IYB2_R1_fastq	sample_IYB3_R1_fastq	sample_IYB4_R1_fastq	sample_IYB5_R1_fastq
hsa_piR_019825|gb|DQ597218|Homo_sapiens:1:227740227:227740256:Plus	138.512577617719	1.00952690540632	41.5976969003437	24.8126643839015	9.35710453757189
hsa_piR_020619|gb|DQ598378|Homo_sapiens:1:28778863:28778894:Minus	10.135066654955	1.00952690540632	22.1723573100889	6.20316609597539	28.0713136127157
hsa_piR_006813|gb|DQ579298|Homo_sapiens:8:101977176:101977202:Plus	6.75671110330336	0	0	0	0
hsa_piR_016735|gb|DQ593039|Homo_sapiens:6:4373286:4373316:Plus	6.75671110330336	0	0	0	0
hsa_piR_015267|gb|DQ590853|Homo_sapiens:13:109499773:109499799:Minus	6.75671110330336	32.3048609730022	11.9691486364196	3.10158304798769	3.1190348458573
hsa_piR_019485|gb|DQ596756|Homo_sapiens:3:10100355:10100384:Plus	3.37835555165168	0	0	3.10158304798769	0
hsa_piR_020814|gb|DQ598650|Homo_sapiens:22:38039828:38039859:Minus	3.37835555165168	1.2619086317579	0.392431102833431	0	3.1190348458573
hsa_piR_020430|gb|DQ598072|Homo_sapiens:2:55053695:55053724:Minus	3.37835555165168	0	0	0	0
hsa_piR_001111|gb|DQ571429|Homo_sapiens:9:27126721:27126746:Minus	3.37835555165168	1.00952690540632	0.196215551416716	0	0
hsa_piR_010487|gb|DQ584125|Homo_sapiens:2:109144047:109144072:Plus	3.37835555165168	0	0	0	0
hsa_piR_020326|gb|DQ597916|Homo_sapiens:3:15524502:15524532:Plus	3.37835555165168	0	0.981077757083578	9.30474914396308	0
hsa_piR_001587|gb|DQ572160|Homo_sapiens:8:132903804:132903830:Minus	3.37835555165168	0	0	0	0
hsa_piR_004019|gb|DQ575471|Homo_sapiens:3:100040312:100040340:Minus	3.37835555165168	0	0	3.10158304798769	6.2380696917146
hsa_piR_020453|gb|DQ598108|Homo_sapiens:1:185563906:185563935:Plus	3.37835555165168	0	0	6.20316609597539	12.4761393834292
hsa_piR_019673|gb|DQ596988|Homo_sapiens:7:136849364:136849392:Minus	3.37835555165168	0	0	0	0
hsa_piR_020828|gb|DQ598675|Homo_sapiens:2:149355860:149355890:Minus	3.37835555165168	1.51429035810948	1.17729330850029	0	0
hsa_piR_015254|gb|DQ590835|Homo_sapiens:3:114834325:114834352:Plus	3.37835555165168	1.00952690540632	0.981077757083578	0	0
hsa_piR_000805|gb|DQ571003|Homo_sapiens:1:212438966:212438997:Plus	3.37835555165168	1.00952690540632	15.3048130105038	0	3.1190348458573
hsa_piR_023085|gb|DQ601565|Homo_sapiens:13:30860792:30860821:Plus	3.37835555165168	0	0	0	0
hsa_piR_013546|gb|DQ588480|Homo_sapiens:1:6575100:6575126:Minus	3.37835555165168	0	0	0	0
hsa_piR_009356|gb|DQ582647|Homo_sapiens:18:11642155:11642183:Minus	3.37835555165168	0	0	0	0
hsa_piR_009153|gb|DQ582399|Homo_sapiens:15:60349962:60349990:Plus	3.37835555165168	0	0	0	0
hsa_piR_016404|gb|DQ592352|Homo_sapiens:2:58332449:58332476:Plus	3.37835555165168	0	0	0	0
hsa_piR_008488|gb|DQ581533|Homo_sapiens:12:117916274:117916302:Plus	3.37835555165168	4.03810762162528	1.56972441133372	0	0
hsa_piR_006308|gb|DQ578624|Homo_sapiens:16:9093275:9093300:Plus	3.37835555165168	0	0	0	0
hsa_piR_009959|gb|DQ583408|Homo_sapiens:9:139545796:139545821:Plus	3.37835555165168	0	0	0	0
