	sample_GBM1_exosome_clean_fq	sample_GBM2_exosome_clean_fq	sample_GBM3_exosome_clean_fq	sample_GBM4_exosome_clean_fq
Glu	169865.142892427	10210.8561700846	19331.303060185	132724.356058091
Gly	43574.3638830271	3430.44830616771	3301.0532858443	31030.376684284
His	26013.8662301024	1219.07734484259	6587.44811817721	18562.2246061911
Val	7395.36363253953	948.340828516029	2613.16593078715	15262.0197331506
Pro	1866.73377744267	123.875855553806	412.87877695607	2964.28290027939
Lys	1231.75196568995	1058.29035914594	859.936301948591	4629.11271831758
Ala	709.912439988517	264.757431984545	759.051883569831	1468.59265176628
Cys	699.304244985652	51.0476871399513	80.3783603987763	239.056372536381
Ser	651.761065502616	180.127745240715	599.206858082114	708.731403714767
Gln	113.171919514611	110.81017786522	277.841202365914	787.184351469677
Leu	96.924868410609	76.9055712049664	125.547916351546	313.633268885374
Asp	89.0663598164829	91.4141307701021	40.0650533007672	245.246854734645
Arg	69.5912564442968	47.7972259746995	152.306393277128	587.638113594075
Und	69.3946357472288	9.40482023696167	143.898052208293	1448.47673635608
Asn	67.5241894211989	43.3317411950564	60.2934086983466	476.632058718354
Thr	44.2352342942956	15.9268957140608	22.5444919480774	49.6269493487524
Met	40.6523181209258	29.6045102057828	73.4006714588567	193.101441896831
iMet	34.3133125834255	30.381835334091	54.2640678285119	161.051208853817
Trp	31.8672832727597	10.9156294613501	40.108224047161	153.705353625349
Tyr	15.3818085650349	14.3186911426267	20.3799211264846	102.798488383157
Phe	14.6738132531181	7.83163370428723	11.644284513583	40.9661273411154
Ile	10.4757495168061	21.1498464935731	13.2168871399617	40.179969412473
SeC	9.30180160394066	13.7272309892736	20.4473299063958	146.189792170482
Sup	0.188660879092271	0.116165609346979	0.386976329119823	0.907216391697363
tRNA	0	0	0.262145255210202	0.581849919086496
Undet	0	0	0.131072627605101	0
