	InputReads	GenomeReads	TranscriptomeReads	TranscriptomeGenomeRatio	TranscriptomeComplexity
sample_DKO1_cell_1_fastq	28766854	15172501	14127445	0.931122	0.0376341
sample_DKO1_cell_2_fastq	31785155	15383456	14261238	0.92705	0.0322956
sample_DKO1_cell_3_fastq	23170483	12346361	11467599	0.928824	0.036489
sample_DKO1_exo_1_fastq	13077148	3468086	3335816	0.961861	0.0649616
sample_DKO1_exo_2_fastq	20239502	5314743	5140026	0.967126	0.0760311
sample_DKO1_exo_3_fastq	17729462	2530863	2360465	0.932672	0.0345597
sample_DKS8_cell_1_fastq	62920619	33741546	31560959	0.935374	0.0288103
sample_DKS8_cell_2_fastq	39707715	20687321	19220763	0.929108	0.0340616
sample_DKS8_cell_3_fastq	25397849	12890416	11832521	0.917932	0.046823
sample_DKS8_exo_1_fastq	6794619	806829	725892	0.899685	0.102577
sample_DKS8_exo_2_fastq	6411754	659790	568964	0.862341	0.105571
sample_DKS8_exo_3_fastq	10596879	2131726	1876801	0.880414	0.0845444
sample_DLD1_cell_1_fastq	29843240	15801025	14563043	0.921652	0.0338118
sample_DLD1_cell_2_fastq	49843294	26030633	23888261	0.917698	0.0342325
sample_DLD1_cell_3_fastq	38176262	19830136	18015986	0.908516	0.0604365
sample_DLD1_exo_1_fastq	8758299	1023439	917232	0.896225	0.104073
sample_DLD1_exo_2_fastq	9458490	564147	459317	0.81418	0.118977
sample_DLD1_exo_3_fastq	8979639	980955	899157	0.916614	0.0985623
