	InputReads	GenomeReads	TranscriptomeReads	TranscriptomeGenomeRatio	TranscriptomeComplexity
sample_B1010_ATGAGC_fastq	12347276	8619524	8472029	0.982888	0.00426781
sample_B1011_ACTGAT_fastq	2033145	577666	566590	0.980826	0.0197409
sample_B1012_CTTGTA_fastq	8636288	3366662	2725940	0.809686	0.0178478
sample_B1013_GTGGCC_fastq	4807125	525457	313483	0.596591	0.12423
sample_B1014_CAAAAG_fastq	1236	924	908	0.982684	0.220264
sample_B1015_CCGTCC_fastq	2733773	965240	951211	0.985466	0.0204266
sample_B1016_GGTAGC_fastq	10542387	8775134	8580402	0.977809	0.00613538
sample_B101_GATCAG_fastq	8219103	4498551	4450124	0.989235	0.00330598
sample_B102_CACGAT_fastq	11690622	7541900	7444624	0.987102	0.00418947
sample_B103_GTGAAA_fastq	7897345	6660285	6546049	0.982848	0.00531359
sample_B104_CAGATC_fastq	13692950	7553481	7473287	0.989383	0.00344815
sample_B105_ATTCCT_fastq	10216270	8183380	8102520	0.990119	0.00487404
sample_B106_CATTTT_fastq	13640633	12889525	12810875	0.993898	0.00355901
sample_B107_GAGTGG_fastq	7690608	5594941	5481830	0.979783	0.00809784
sample_B108_GGCTAC_fastq	8534319	2933874	2769871	0.9441	0.0102618
sample_B109_ACAGTG_fastq	9461068	7894902	7875998	0.997606	0.00206996
sample_B110_TCCCGA_fastq	7248921	6719193	6671249	0.992865	0.00429575
sample_B1110_GGTAGC_fastq	1495233	989550	977129	0.987448	0.00831108
sample_B1114_CTCAGA_fastq	340663	292091	288567	0.987935	0.0207092
sample_B1114_GACGAC_fastq	13885484	6627153	6447392	0.972875	0.00625462
sample_B111_ACAGTG_fastq	1178594	1064168	1055852	0.992185	0.00627266
sample_B112_GCCAAT_fastq	1577442	1383022	1371828	0.991906	0.00647239
sample_B113_CGTACG_fastq	902993	781242	765570	0.97994	0.0119545
sample_B114_CACGAT_fastq	4992420	4474771	4315157	0.96433	0.00918576
sample_B114_TGACCA_fastq	59403626	52731410	52125334	0.988506	0.00195533
sample_B115_GGCTAC_fastq	8649047	5144293	4848647	0.942529	0.00753695
sample_B116_TGACCA_fastq	27550818	19357866	18582886	0.959966	0.00333204
sample_B117_GAGTGG_fastq	4129260	3034957	2974989	0.980241	0.0087402
sample_B118_CTTGTA_fastq	4970229	3991847	3875935	0.970963	0.0147601
sample_B119_CAGATC_fastq	695253	553294	547246	0.989069	0.0115158
sample_B11_GCCAAT_fastq	2145759	1956854	1938355	0.990547	0.00625169
sample_B121_CAACTA_fastq	7913539	7149944	6910864	0.966562	0.009637
sample_B122_ACTTGA_fastq	4388993	3975404	3921976	0.98656	0.0103835
sample_B123_TTAGGC_fastq	9704955	8434150	8401666	0.996149	0.00694862
sample_B124_CAACTA_fastq	825304	599380	588907	0.982527	0.0221071
sample_B12_CAGGCG_fastq	7227908	2655810	2608201	0.982074	0.00694157
sample_B1310_GCCAAT_fastq	7164332	6278142	6226801	0.991822	0.00816133
sample_B1314_TATAAT_fastq	9825135	6701173	6642324	0.991218	0.00726432
sample_B131_TAGCTT_fastq	5856695	4963010	4941285	0.995623	0.00570439
sample_B132_AGTCAA_fastq	4032719	3550590	3533498	0.995186	0.00612453
sample_B133_CACCGG_fastq	8628440	5271274	5239244	0.993924	0.00366102
sample_B134_ACAGTG_fastq	5968717	3294827	3180240	0.965222	0.0145502
sample_B135_GTTTCG_fastq	6666953	3432159	3303596	0.962542	0.00829369
sample_B136_CAGATC_fastq	10100784	8154357	8031598	0.984946	0.00559714
sample_B137_GAGTGG_fastq	3169006	2571363	2556599	0.994258	0.00880193
sample_B138_ATGTCA_fastq	2361861	2189477	2178214	0.994856	0.0108364
sample_B139_CGATGT_fastq	8881842	6191362	6139083	0.991556	0.00614815
sample_B13_ACTTGA_fastq	17937744	11017466	10610470	0.963059	0.00529091
sample_B1410_GGTAGC_fastq	7048277	5493027	5416556	0.986079	0.00637804
sample_B1414_TCATTC_fastq	11430129	8899312	8813518	0.990359	0.00699562
sample_B141_ATGTCA_fastq	9045774	8601124	8579728	0.997512	0.00290324
sample_B142_GATCAG_fastq	2698005	1973343	1953719	0.990055	0.011778
sample_B143_CAGATC_fastq	2349251	1176054	1157275	0.984032	0.017358
sample_B143_CGGAAT_fastq	11775694	5774356	5671186	0.982133	0.00606892
