	sample_GBM1_exosome_clean_fq	sample_GBM2_exosome_clean_fq	sample_GBM3_exosome_clean_fq	sample_GBM4_exosome_clean_fq
hsa-let-7b-5p	6036.98981986717	15652.5991767631	3829.28681548303	5793.57661933075
hsa-miR-100-5p	1927.71225462407	879.369724939369	1249.25321370422	2445.34550369414
hsa-miR-320a	1446.18612066699	1001.7019561249	318.135112635515	600.618619601473
hsa-miR-432-5p	1262.2889287718	218.477977552173	0	116.854858749871
hsa-let-7g-5p	1252.8148715826	1390.08887307041	1794.25319928623	5357.86800492148
hsa-let-7a-5p	1201.05206821252	3120.38153101957	3427.41813924579	5783.34575825348
hsa-miR-122-5p	951.712108551336	13163.091412112	1821.6473784557	25720.9181106848
hsa-miR-423-5p	930.352415979324	1378.18091365803	577.243851972866	639.065161130001
hsa-miR-199a-3p|hsa-miR-199b-3p	910.715279259894	426.536490618513	25.95238026581	53.5786800492148
hsa-miR-409-3p	761.025175670552	62.351398589833	0	83.3984884023977
hsa-miR-134-5p	705.04211046165	142.068571322723	0.262145255210202	121.703608075592
hsa-let-7i-5p	634.245064920546	4665.43926477612	1752.57210370781	5148.15959658406
hsa-miR-21-5p	614.607928201116	2023.85693512941	461.375649169956	5283.19726530538
hsa-miR-30d-5p	607.459321412902	2899.91889356534	533.203449097552	1644.69577128449
hsa-miR-382-5p	558.96937416273	73.432416376355	0	39.0324320720524
hsa-miR-191-5p	489.894884474208	423.890277415761	384.829234648577	2637.47719572583
hsa-miR-92a-3p	441.835576187181	9367.26396109008	956.305891006819	662.824032826033
hsa-miR-423-3p	441.146553846149	637.571993537947	576.719561462445	477.844246049785
hsa-miR-146a-5p	438.045953311502	54.9089239570943	2.09716204168162	10.4248110502997
hsa-miR-127-3p	426.332573513947	165.057548521627	1.04858102084081	205.586971410562
hsa-miR-24-3p	403.078069504095	989.022184528385	25.95238026581	931.687182937251
hsa-miR-221-3p	384.81897746673	5.95397970619095	3.93217882815304	528.998551436139
hsa-miR-543	377.067476130113	280.002434516147	0.786435765630607	286.561085150099
hsa-let-7c-5p	356.172873638298	2725.54446939235	1186.20727982617	1017.13426792977
hsa-miR-1246	336.1567746313	710.177468288443	880.676984878675	427.780909261717
hsa-miR-485-5p	313.160653999335	57.2243605095019	0	43.3963064652011
hsa-miR-151a-3p	310.060053464689	932.293988994399	307.234239106357	669.612281882042
hsa-miR-181a-5p	307.303964100558	3092.76168071585	541.329952009068	2194.30150735495
hsa-miR-27b-3p	304.720130321686	1584.42015514748	97.7801801934055	1113.87893885121
hsa-miR-193a-5p	295.762839888261	23.3197538492479	1.31072627605101	37.0929323417641
hsa-miR-222-3p	279.91532604451	8.76558123411445	17.8258773542938	613.124352237395
hsa-miR-22-3p	232.889551269033	648.487622999297	166.724382313689	2464.37684479759
hsa-miR-10b-5p	217.731059766315	2711.37620286929	618.924947551288	6396.47011049088
hsa-miR-143-3p	215.491737157959	148.51871600443	7.60221240109587	367.050323957064
hsa-miR-181b-5p	194.73493913435	3017.26191027485	504.36747102443	1365.40781012298
hsa-miR-10a-5p	185.605393115668	17.5311624682289	45.8754196617854	1845.79764956876
hsa-let-7f-5p	174.322652281258	1625.68454227789	1537.61299443544	2377.58423186719
hsa-miR-26a-5p	169.49949589403	627.317917377285	382.994217862106	2460.01297040445
hsa-miR-493-5p	169.154984723513	6.94630965722277	0	37.5778072743362
