	sample_DKO1_cell_1_fastq	sample_DKO1_cell_2_fastq	sample_DKO1_cell_3_fastq	sample_DKO1_exo_1_fastq	sample_DKO1_exo_2_fastq	sample_DKO1_exo_3_fastq	sample_DKS8_cell_1_fastq	sample_DKS8_cell_2_fastq	sample_DKS8_cell_3_fastq	sample_DKS8_exo_1_fastq	sample_DKS8_exo_2_fastq	sample_DKS8_exo_3_fastq	sample_DLD1_cell_1_fastq	sample_DLD1_cell_2_fastq	sample_DLD1_cell_3_fastq	sample_DLD1_exo_1_fastq	sample_DLD1_exo_2_fastq	sample_DLD1_exo_3_fastq
hsa-miR-21-5p	193432.183659108	269211.352767545	180773.751877173	21725.8164878264	19797.570644526	5627.32949195591	178709.12020451	206845.197597118	141645.545031285	17592.3274944257	13557.344003395	17147.6071502623	200118.663187989	167821.504763253	132424.457401603	10061.1760935434	12821.1264085425	22758.4343828208
hsa-miR-148a-3p	43696.2238460225	37385.4873703282	38946.6985454257	6198.80821871199	1244.83912016066	2402.34260013284	45599.3332374278	44026.6770163232	39682.1948958048	43218.5754354392	18874.187241395	14856.9750521408	36019.9417442856	43166.4108974991	26498.2549791892	5393.57988116536	15066.9949498978	13295.2072215341
hsa-miR-200b-3p	34194.2636879708	37287.8500123769	33005.6362356487	5929.92791989587	8290.89948469757	5795.45396175139	39857.361604	39866.2543110343	39340.4293546461	7072.13052579915	6217.88750966217	7770.22938220015	34007.034353784	33534.0673428879	30304.2803135591	6170.37263578972	6686.2005824723	10220.1426161241
hsa-let-7i-5p	30512.7678027505	25195.2812163925	33544.8234504078	3339.4500597736	1819.93748333645	493.30998951741	21199.8732956694	18969.1308990661	16439.1901704336	4020.67848329696	2556.87415692872	3515.69573200308	25196.4983284312	29660.2084167527	21087.7020712314	1220.39515789412	3075.43955742032	3550.11188076925
hsa-miR-7-5p	28041.3888257447	33733.1437963832	33467.1487412364	655.693082582151	657.040236940902	501.014871211915	22939.3361722864	26123.0618825254	19920.1096380443	725.06070059455	475.909001348914	894.580260314881	25283.3070428448	24521.9161593189	21198.8208250312	371.297165732398	627.496024972215	879.754932693141
hsa-let-7f-5p	22062.5129634198	23746.2245154795	30111.1396305357	7111.41534552488	4990.83398764531	2172.38151571223	23015.202089436	21446.7354182787	18964.9426364518	12761.0683304641	7984.3586595735	9330.93652748993	23948.1299472661	25168.3084310704	24313.5246273651	2461.30936968398	5284.08375831122	8893.37431380644
hsa-let-7a-5p	20915.8112210154	16500.5943181211	24941.7351936062	11943.8599081261	12498.4406583724	5031.09018544267	22046.7076404857	18654.8885023182	18776.4692776401	17632.4020744586	19060.6101941527	22615.0859288045	22422.9440811593	27617.237224568	24730.2304600096	5446.83171151383	3941.34862012915	7472.31014674475
hsa-miR-200a-3p	20605.9633807241	16841.0141388255	21445.7928129592	3056.44093024221	1287.45642075261	365.092855678083	26433.1841818985	26255.8888122827	27618.736276626	1417.89648116268	641.870898316131	547.443714623737	20606.7960781025	23528.3752031693	29882.8006020735	434.80852302873	551.274756402143	592.279972068036
hsa-miR-24-3p	19831.6678311638	14715.1264319279	12280.0556374465	10525.6905393926	5856.72722086468	7349.27177014323	13183.3911818978	10840.1663028287	14832.5701823743	1874.00304153668	1109.44391397263	1427.95087173492	13848.6585522142	20592.1231343087	15732.3177208669	788.517928279067	1161.04490496271	1185.57935889006
hsa-let-7g-5p	17837.2702035083	14654.3468515787	22972.3559840831	5492.51085469045	1939.79276138094	905.817501777062	19402.4304636189	16574.3307217015	16247.8852505613	3972.34110325732	1770.26023431698	1618.64142014499	18796.4704821364	20674.4876315532	19666.7082868216	692.762343432291	1886.03325019897	2044.43628912641
