	sample_2572_KCV_1_25_VK_fastq	sample_2572_KCV_1_26_CC_fastq	sample_2572_KCV_1_27_AE_fastq	sample_2572_KCV_1_28_CHL001_fastq	sample_2572_KCV_1_29_CHL002_fastq	sample_2572_KCV_1_30_CHL003_fastq
hsa-miR-486-5p	36277.5602167266	36091.4198311616	36949.6782770049	35399.2183137912	35884.0443635937	35186.4993644283
hsa-miR-423-5p	1332.18890259822	1201.08637036601	1186.26699777517	1126.00037223153	1144.29904348336	1200.95764674689
hsa-let-7f-5p	1126.54900488171	1284.42705728937	1232.42524671584	1219.05825423413	1122.29329264715	1119.07417083233
hsa-miR-92a-3p	979.024730432917	1004.9906364287	1043.1764260591	911.967243625535	880.230033448741	974.803284697148
hsa-miR-191-5p	920.909107165209	931.454736202214	973.939052648099	949.190396426577	1144.29904348336	1005.99698980746
hsa-miR-10b-5p	719.739642007761	661.823102038415	636.983835381221	809.603573422669	579.484772020421	717.455217537101
hsa-miR-22-3p	549.863204763693	642.213528644684	558.514812182085	614.182021217197	572.149521741682	584.881970818289
hsa-miR-181a-5p	442.572823346387	451.020188055809	493.89326366515	428.066257211986	484.126518396808	436.711871544322
hsa-miR-26a-5p	438.102390787333	426.508221313645	443.119189830415	409.454680811465	403.438765330673	413.316592711591
hsa-miR-10a-5p	438.102390787333	392.191467874616	475.429964088882	446.677833612507	506.132269233026	487.401642348574
hsa-miR-148a-3p	415.750227992061	431.410614662078	355.418516843145	372.231528010422	388.768264773194	374.324461323705
hsa-miR-21-5p	335.282441929081	284.338814209097	327.723567478744	325.70258700912	337.421512822017	292.440985409144
hsa-let-7i-5p	330.812009370027	333.362747693424	300.028618114343	232.644705006514	308.080511707059	300.239411686722
hsa-miR-143-3p	299.518981456646	397.093861223049	369.265991525345	372.231528010422	432.779766445631	358.727608768551
hsa-miR-375	281.637251220428	245.119667421635	253.870369173675	288.479434208077	212.722258083446	230.053575188527
hsa-miR-30d-5p	239.168141909411	257.375650792717	221.559594915207	223.338916806253	286.074760870841	226.154362049738
hsa-let-7a-5p	225.756844232248	232.863684050553	272.333668749942	227.991810906384	286.074760870841	226.154362049738
hsa-miR-19b-3p	219.051195393666	230.412487376337	175.401345974539	204.727340405732	256.733759755883	202.759083217007
hsa-miR-28-3p	219.051195393666	303.948387602828	147.706396610138	195.421552205472	300.74526142832	265.146493437624
hsa-miR-151a-3p	210.110330275557	294.143600905962	272.333668749942	195.421552205472	271.404260313362	269.045706576413
hsa-miR-192-5p	187.758167480285	191.193340588875	210.02003268004	176.809975804951	205.387007804706	175.464591245487
hsa-miR-27b-3p	172.111653523595	191.193340588875	203.09629533894	176.809975804951	227.392758640925	216.406329202767
hsa-miR-146a-5p	165.406004685013	210.802913982606	180.017170868606	176.809975804951	95.3582536236136	140.371672996389
hsa-miR-30a-5p	145.289058169268	115.206243688169	133.858921927938	176.809975804951	110.028754181093	140.371672996389
hsa-miR-93-5p	134.112976771632	132.364620407683	87.7006729872696	214.033128605993	190.716507247227	175.464591245487
hsa-miR-148b-3p	125.172111653524	117.657440362385	133.858921927938	111.669458403127	73.3525027873951	152.069312412755
hsa-miR-125a-5p	120.701679094469	93.1454736202214	64.6215485169355	83.7520938023451	51.3467519511766	50.6897708042517
hsa-miR-25-3p	98.3495162991971	161.778980498279	143.090571716071	130.281034803648	124.699254738572	120.875607302446
hsa-miR-99b-5p	93.8790837401427	34.3167534390289	60.0057236228686	27.9173646007817	51.3467519511766	116.976394163658
hsa-miR-320a	90.153723274264	95.5966702944377	156.168742249261	110.118493703083	127.144338164818	99.4299350391091
hsa-miR-320b	90.153723274264	95.5966702944377	156.168742249261	110.118493703083	127.144338164818	99.4299350391091
hsa-miR-4446-3p	89.4086511810883	78.4382935749233	69.2373734110023	93.0578820026056	73.3525027873951	97.4803284697148
hsa-miR-16-5p	84.9382186220339	53.9263268327598	92.3164978813364	102.363670202866	58.6820022299161	35.0929182490973
hsa-miR-151a-5p|hsa-miR-151b	80.4677860629795	85.7918835975723	92.3164978813364	69.7934115019542	69.6848776480253	76.0346562063775
hsa-miR-126-5p	80.4677860629795	53.9263268327598	60.0057236228686	120.975246603387	102.693503902353	62.3874102206175
hsa-miR-148a-5p	71.5269209448706	44.1215401358943	60.0057236228686	46.5289410013028	36.6762513936976	50.6897708042517
hsa-miR-184	67.0564883858162	49.023933484327	36.9265991525345	9.30578820026056	73.3525027873951	54.5889839430403
hsa-miR-199a-3p|hsa-miR-199b-3p	62.5860558267618	44.1215401358943	46.1582489406682	65.1405174018239	36.6762513936976	46.7905576654631
hsa-miR-130a-3p	62.5860558267618	68.6335068780579	120.011447245737	74.4463056020845	95.3582536236136	77.9842627757719
hsa-miR-23b-3p	55.8804069881802	19.6095733937308	76.1611107521025	46.5289410013028	25.6733759755883	44.8409510960688
hsa-miR-182-5p	53.645190708653	53.9263268327598	41.5424240466014	83.7520938023451	29.341001114958	62.3874102206175
hsa-miR-142-5p	53.645190708653	44.1215401358943	36.9265991525345	27.9173646007817	80.6877530661346	66.2866233594061
hsa-miR-134-5p	40.2338930314897	4.9023933484327	46.1582489406682	55.8347292015634	66.0172525086556	54.5889839430403
hsa-miR-15a-5p	40.2338930314897	24.5119667421635	27.6949493644009	46.5289410013028	14.670500557479	31.1937051103087
hsa-miR-127-3p	40.2338930314897	68.6335068780579	32.3107742584677	37.2231528010422	36.6762513936976	38.9921313878859
hsa-miR-181c-5p	35.7634604724353	19.6095733937308	13.8474746822005	18.6115764005211	0	11.6976394163658
hsa-miR-98-5p	31.2930279133809	34.3167534390289	41.5424240466014	18.6115764005211	44.0115016724371	66.2866233594061
hsa-let-7c-5p	31.2930279133809	19.6095733937308	13.8474746822005	9.30578820026056	29.341001114958	42.8913445266745
hsa-miR-26b-5p	31.2930279133809	9.80478669686541	0	0	7.33525027873951	11.6976394163658
hsa-miR-223-3p	22.3521627952721	19.6095733937308	13.8474746822005	18.6115764005211	14.670500557479	31.1937051103087
hsa-miR-101-3p	22.3521627952721	63.7311135296252	50.774073834735	37.2231528010422	117.364004459832	54.5889839430403
hsa-miR-205-5p	22.3521627952721	9.80478669686541	32.3107742584677	0	7.33525027873951	11.6976394163658
hsa-miR-378a-3p	22.3521627952721	14.7071800452981	32.3107742584677	37.2231528010422	7.33525027873951	23.3952788327316
hsa-miR-342-3p	17.8817302362177	14.7071800452981	9.23164978813364	9.30578820026056	7.33525027873951	31.1937051103087
hsa-miR-181b-5p	17.8817302362177	4.9023933484327	9.23164978813364	0	0	19.496065693943
hsa-miR-128-3p	17.8817302362177	19.6095733937308	27.6949493644009	37.2231528010422	22.0057508362185	15.5968525551544
hsa-miR-181a-3p	17.8817302362177	14.7071800452981	18.4632995762673	37.2231528010422	14.670500557479	23.3952788327316
hsa-let-7b-5p	17.8817302362177	9.80478669686541	13.8474746822005	0	29.341001114958	27.2944919715201
hsa-miR-136-3p	13.4112976771632	19.6095733937308	18.4632995762673	18.6115764005211	14.670500557479	23.3952788327316
hsa-miR-423-3p	13.4112976771632	34.3167534390289	27.6949493644009	46.5289410013028	22.0057508362185	35.0929182490973
hsa-let-7g-5p	13.4112976771632	4.9023933484327	0	0	7.33525027873951	0
hsa-miR-30e-5p	13.4112976771632	53.9263268327598	27.6949493644009	46.5289410013028	29.341001114958	19.496065693943
hsa-miR-21-3p	8.94086511810883	9.80478669686541	4.61582489406682	0	14.670500557479	11.6976394163658
hsa-miR-221-3p	8.94086511810883	0	13.8474746822005	0	0	15.5968525551544
hsa-miR-217	8.94086511810883	19.6095733937308	0	9.30578820026056	7.33525027873951	0
hsa-miR-486-3p	8.94086511810883	4.9023933484327	0	18.6115764005211	0	11.6976394163658
hsa-let-7e-5p	6.70564883858162	2.45119667421635	4.61582489406682	4.65289410013028	0	0
hsa-miR-200a-3p	4.47043255905441	4.9023933484327	4.61582489406682	9.30578820026056	0	3.89921313878859
hsa-miR-139-5p	4.47043255905441	0	0	0	0	0
hsa-miR-203a-3p	4.47043255905441	4.9023933484327	0	0	7.33525027873951	11.6976394163658
hsa-miR-152-3p	4.47043255905441	0	0	0	0	0
hsa-miR-320d	4.47043255905441	0	0	0	0	3.89921313878859
hsa-miR-451a	4.47043255905441	34.3167534390289	27.6949493644009	9.30578820026056	44.0115016724371	19.496065693943
hsa-miR-194-5p	4.47043255905441	0	0	0	0	7.79842627757719
hsa-miR-409-3p	4.47043255905441	9.80478669686541	18.4632995762673	9.30578820026056	22.0057508362185	7.79842627757719
hsa-miR-122-5p	4.47043255905441	9.80478669686541	18.4632995762673	18.6115764005211	7.33525027873951	7.79842627757719
hsa-miR-92b-3p	4.47043255905441	4.9023933484327	4.61582489406682	0	0	3.89921313878859
hsa-miR-151b	4.47043255905441	12.2559833710818	4.61582489406682	4.65289410013028	11.0028754181093	1.9496065693943
hsa-miR-320c	2.98028837270294	4.9023933484327	6.15443319208909	3.10192940008685	2.4450834262465	3.89921313878859
hsa-miR-27a-3p	2.23521627952721	0	4.61582489406682	0	7.33525027873951	1.9496065693943
hsa-miR-23a-3p	2.23521627952721	4.9023933484327	16.1553871292339	18.6115764005211	3.66762513936976	13.6472459857601
hsa-let-7d-3p	0	24.5119667421635	9.23164978813364	27.9173646007817	7.33525027873951	27.2944919715201
hsa-miR-194-3p	0	4.9023933484327	0	0	0	0
hsa-miR-30c-5p	0	0	4.61582489406682	0	0	0
hsa-miR-744-5p	0	0	4.61582489406682	0	0	0
hsa-miR-146b-5p	0	0	4.61582489406682	0	0	0
hsa-miR-215-5p	0	0	2.30791244703341	0	0	0
hsa-miR-140-3p	0	0	0	0	7.33525027873951	0
hsa-miR-378a-5p	0	0	0	0	0	3.89921313878859
