	sample_NEB_Lib_41_fastq	sample_NEB_Lib_42_fastq	sample_NEB_Lib_43_fastq	sample_NEB_Lib_44_fastq	sample_NEB_Lib_45_fastq	sample_NEB_Lib_46_fastq	sample_NEB_Lib_47_fastq	sample_NEB_Lib_48_fastq	sample_NEB_Lib_49_fastq	sample_NEB_Lib_50_fastq	sample_NEB_Lib_51_fastq	sample_NEB_Lib_52_fastq	sample_NEB_Lib_53_fastq	sample_NEB_Lib_54_fastq	sample_NEB_Lib_55_fastq	sample_NEB_Lib_56_fastq	sample_NEB_Lib_57_fastq	sample_NEB_Lib_58_fastq	sample_NEB_Lib_59_fastq	sample_NEB_Lib_60_fastq	sample_NEB_Lib_61_fastq	sample_NEB_Lib_62_fastq	sample_NEB_Lib_63_fastq	sample_NEB_Lib_64_fastq	sample_NEB_Lib_65_fastq	sample_NEB_Lib_66_fastq	sample_NEB_Lib_67_fastq	sample_NEB_Lib_68_fastq	sample_NEB_Lib_69_fastq	sample_NEB_Lib_70_fastq	sample_NEB_Lib_71_fastq	sample_NEB_Lib_72_fastq	sample_NEB_Lib_73_fastq	sample_NEB_Lib_74_fastq	sample_NEB_Lib_75_fastq	sample_NEB_Lib_76_fastq	sample_NEB_Lib_77_fastq	sample_NEB_Lib_78_fastq	sample_NEB_Lib_79_fastq	sample_NEB_Lib_80_fastq	sample_NEB_Lib_81_fastq	sample_NEB_Lib_82_fastq	sample_NEB_Lib_83_fastq	sample_NEB_Lib_84_fastq	sample_NEB_Lib_85_fastq	sample_NEB_Lib_86_fastq	sample_NEB_Lib_87_fastq	sample_NEB_Lib_88_fastq
hsa-miR-122-5p	59675.2342361906	89584.9805527088	35876.3647906216	9361.15254220952	6090.66767073968	40043.9232363288	1778.86769094571	12893.4264871413	29439.0147479155	19521.9561000012	30320.9950217504	87590.9722759384	47266.5140769754	27512.6749592437	86546.9525448046	7989.92260433858	9909.58599281528	150261.859779045	12421.600281676	19257.8754790937	17686.745004048	36973.9971395808	30355.11852236	18875.5290426231	44735.3820593025	56769.9380014479	61423.0845457469	64288.1940727513	46382.609397464	15531.5377024094	28845.815457166	24533.6338968558	34374.6596083045	63865.1804106318	29349.3640581975	17867.2000246979	142603.673707989	13496.8777394184	16326.8107065779	11702.3272185302	26646.7886380115	33662.5172571596	47438.3402320657	55836.9644687042	15364.2194441923	126089.052676978	18854.2023399066	4869.53247130853
hsa-miR-486-5p	7878.37531899296	9516.22164885354	11626.6113452084	47966.2959079267	55459.2944158966	33592.6286122414	41880.3211430201	26992.5391504473	15049.9665973244	29906.615247499	137639.309850234	19218.4213273335	23174.0790503405	115094.833855497	82462.7391134636	82123.9347792917	48617.3352051556	72519.4358427755	43422.8843546801	28684.6767264267	22062.4168103665	38064.3722123402	52294.1444278827	26886.1486983333	156250.093719166	25802.2421965542	32189.9339213657	30836.8564600311	27556.4822962611	45268.725990258	88374.6524745095	83173.6930549575	46702.1763283446	47523.1275913651	18962.288674461	24567.4000339597	32873.5404832802	26061.4231718271	23544.5895823254	54888.2156255423	42185.1792942926	40838.8998488677	33012.6414752691	17079.4880979995	25069.0009855278	9831.86386480981	48129.9111998466	8556.79114350531
hsa-miR-148a-3p	5994.57782555506	14771.3073062323	6827.06569481862	2885.12320424574	4166.63728240443	13372.9181985154	1303.674492067	6290.46446518969	2470.58239044768	3031.01068401472	4160.9738733504	3851.79488835502	2794.77369633798	7258.15902033163	6565.48965667593	7417.74189871042	5822.11147235416	7203.51183830995	1403.1735411974	3010.92864521486	4509.96446001637	6392.08423713828	12135.5229342482	12277.2618541778	4593.8886106471	3020.38116745568	7249.760503511	14434.4295431333	10997.41673036	3755.9377867435	5619.86176830354	6504.93648993218	9881.27137659848	2440.69329812704	10274.2231485618	4177.92224116221	14316.017744146	5646.2457116265	5751.30298133108	2138.13166823875	11877.9061909381	13911.0011267627	12546.2990088148	28980.5709789091	10852.0369914541	4690.21204391877	8311.14381455033	4499.71431417327
hsa-miR-30d-5p	5167.15975496002	12679.4742223597	9197.28466748646	9545.04601498792	5835.56117144169	7536.90363910443	885.58732518305	8784.16653774267	6138.27016422277	6492.61102474096	4205.30568337076	2947.61063302661	1512.66165690887	5473.6695170246	7938.13065639459	4560.34599175358	4547.74446921947	4408.42548204426	1170.17904780748	1202.56128054373	5599.1254511108	5020.25646179389	5779.91699524913	6172.71775803838	6932.51920118281	2312.50726196399	4221.13882429304	8517.10894133244	3511.11456430438	3335.00945789578	5834.48242030242	6309.32814029389	4153.97686425724	3553.55290485408	5831.93111188248	4330.52026664961	6172.9483045567	6980.78213439249	3711.48098968251	5373.83759284005	5807.34142941097	7555.2950157093	5424.38405185224	9204.61619094878	8732.63744275656	3235.8525595857	6719.15867280684	4287.23791868838
hsa-miR-21-5p	3916.2145193326	9891.59547032166	9510.05245997465	3869.32019435098	2494.95382786996	3724.66161675092	349.145687843635	5529.47723826079	4280.24633416206	3261.13141653073	1921.80850228497	1976.58883722956	1150.18642498236	1532.02430559146	3954.73088580868	3628.19566212488	2565.02981613126	2711.73576346617	816.131549471955	745.189754877825	6050.85373718708	4958.9700631918	4111.85828073375	5894.23478065875	2505.07583005191	2113.49220772643	4191.98089268064	9262.34941440744	2652.53427244129	1822.78546166508	5424.43700070705	3131.77917172521	5211.42408992876	2538.57131173075	5204.82291538573	5511.61134253185	4926.60841818791	8259.00828995357	2522.92869715591	2985.40197730616	6439.82415934682	7488.11707564693	7481.27824633896	12659.3637781034	10402.4191759565	5249.24649390167	12275.3273047339	5576.92022616643
hsa-miR-92a-3p	3804.17233294677	6446.40596198302	7408.83642584008	16405.6197144317	20551.557422112	15134.9195549031	914.880056620779	10854.9663064139	7120.79506824293	14967.9207158883	9974.49366856688	2534.5696526025	1538.27828107329	13994.8007679078	23980.7345094297	6291.35704602174	12047.2841992707	13878.3472840336	2289.26852094705	2081.10078103127	7098.39132403592	11789.789395536	9869.94707019903	11546.4316233178	30686.6540908041	5537.86201821524	7660.29572903915	13995.2193783933	7652.83843452294	11407.1329658397	15515.8733967437	20391.8508283055	13022.0247042677	13493.757930242	7454.47385174796	6544.07370572838	9949.5034060966	10799.3115604809	6694.69920774618	22365.0473059256	11468.8832684796	15402.2552559828	7058.2873734507	6000.18204613989	8274.03475833978	5319.52641861287	12058.9973120108	3816.64301338861
hsa-miR-423-5p	3341.24430740988	4863.44908665443	3342.72936241902	4005.35098243363	4257.70294381249	3270.68470416531	12576.9378029505	3133.0308495977	2710.79625213523	3092.01679682723	11160.4922761227	2958.1244034374	7868.14611210091	10967.5879492243	2535.77861068064	14800.4075855816	3741.10188105654	5008.29717264686	9194.17097240057	6047.80316853477	2184.54262282335	2776.18671961502	6871.80702522813	3120.12413609178	5550.57386119966	3262.29767051091	5280.54367287674	5114.77815741208	4500.39420610384	2094.4958115033	5484.69074897009	5016.77884954675	4595.3423523517	3745.28654794079	3463.39618294826	4271.86264413567	3949.7077294615	3299.81547818747	3085.98132765134	2282.00417249268	3606.34633320564	4370.53188584701	4456.84711007492	4494.99813549518	3976.36605104716	1656.04226501896	5248.52193168737	2295.8893749579
hsa-miR-151a-3p	3097.65201673369	5369.66411804745	5887.88198983197	5225.68515378379	1436.81376888271	2146.55139681047	1797.2126338663	3841.89566372325	3332.07544776498	2455.28322868184	1898.25211614869	1865.44326431544	1976.32255428483	2130.87520119667	2289.1001845205	4878.224161547	2606.2894198241	2304.13873579883	2042.93216410883	1045.07583437117	4350.05740370585	3929.0100184382	2368.00052195798	4351.53770196447	2595.64603245532	1252.48396409387	4234.23876458266	5900.8436613315	2239.35568231987	1330.3413850002	3897.03114318957	2459.295564472	2375.00816940069	1984.37616621206	4353.76140391294	3762.90853600718	3299.20219233095	7106.76156102207	2625.17713340676	3468.71476240226	3136.27799968189	6839.65166495537	5853.47256816039	8157.94264372102	8486.95743324757	2803.41354401744	6656.4484255045	4309.34378602769
hsa-let-7i-5p	3001.78086755818	5022.8240293652	4946.68610765198	5477.04639263217	6641.35429662815	5567.59170236631	4105.12480774796	5052.32024105194	2801.96652967341	3051.86626211574	15847.8859452131	4320.4086552362	4095.45778828629	12871.2013896787	8872.07471048364	22164.8774875611	4891.51671343333	9925.82428684728	5453.56803732077	2869.73479692222	6627.26927598147	6761.98105524141	7921.23999560557	5483.26336600381	12631.544221951	3680.58679648327	3872.72267046086	9830.12169427446	2316.45022974777	2767.33774338863	6136.81759963997	3554.44662525736	5854.51931246324	4223.72679251962	2640.35315744988	3268.72909219611	4907.18790666796	5438.16828281079	2722.10727851033	2696.51663190856	5205.66142982914	7899.2364548122	8163.94919443503	9147.08447234514	8704.46613499953	2548.84912617101	8710.7180364037	2579.3646149561
hsa-let-7a-5p	2896.66912569106	5918.60582703176	4821.67959951637	3837.88634879565	8089.359636694	4274.11780063429	287.897249382929	4851.64895175905	2725.19851336953	3004.62199335629	1560.44699551382	1429.87277586819	788.351608659956	3622.40167643785	5643.83226749141	1740.87623884796	7324.09973451699	15048.0970807086	2114.84806220823	2098.90086019637	5097.41858660336	9680.63686734138	9051.66920209672	12641.4978653926	10317.2056393447	3993.40986077884	6459.96087766219	10015.670934719	2236.34417656097	3129.61820983958	4884.81936139558	3167.83247538403	8493.99821362438	4187.30186964883	3561.46088385871	2919.20904826905	5925.70397722284	5652.6433245672	3370.08100958322	8658.10286332891	5961.91513082386	8634.94906494076	4430.77747516381	3518.51879039149	4230.09500562958	4190.01127683743	8749.26719275406	3314.18965221749
