	sample_IYB1_R1_fastq	sample_IYB2_R1_fastq	sample_IYB3_R1_fastq	sample_IYB4_R1_fastq	sample_IYB5_R1_fastq
hsa-miR-21-5p	557.428666022527	44973.9188723988	36795.517494971	201.6028981192	2691.72707197485
hsa-miR-26a-5p	202.701333099101	6284.05260442799	8420.68849682406	120.96173887152	1412.92278517336
hsa-miR-148a-3p	165.539422030932	2424.88362678598	7905.52456657947	77.5395761996923	1584.46970169551
hsa-miR-143-3p	124.999155411112	710.706941406049	526.838755553881	65.1332440077416	1119.73350966277
hsa-miR-1-3p	114.864088756157	1.51429035810948	1.17729330850029	182.993399831274	1219.5426247302
hsa-miR-122-5p	108.107377652854	43587.0812860969	203211.911225806	96.1490744876185	252.641822514441
hsa-miR-133a-3p	67.5671110330336	0	0.196215551416716	198.501315071212	645.640213092461
hsa-let-7b-5p	57.4320443780785	3574.90302652801	5247.88303041577	62.0316609597539	411.712599653163
hsa-miR-22-3p	57.4320443780785	2329.98809767779	1748.86920977719	62.0316609597539	374.284181502876
hsa-miR-192-5p	54.0536888264268	12851.0251240961	20124.2593844012	20.16028981192	603.533242673387
hsa-miR-206	47.2969777231235	0	1.17729330850029	21.7110813359138	227.689543747583
hsa-miR-26b-5p	47.2969777231235	523.187318726825	896.606962198682	15.5079152399385	180.904021059723
hsa-miR-99a-5p	43.9186221714718	6969.52137319888	12168.2093133319	34.1174135278646	115.40428929672
hsa-miR-191-5p	43.9186221714718	393.210729655761	270.973676506484	24.8126643839015	140.356568063578
hsa-miR-30e-5p	37.1619110681685	950.974344892753	970.874548409908	12.4063321919508	112.285254450863
hsa-miR-27a-3p	33.7835555165168	1891.60103900509	1155.70959784445	7.75395761996923	394.557908000948
hsa-miR-378a-3p	33.7835555165168	272.992900670292	1325.63226537133	15.5079152399385	329.058176237945
hsa-let-7i-5p	30.4051999648651	1939.55356701189	1909.66785416318	46.5237457198154	218.332439210011
hsa-let-7g-5p	27.0268444132134	1076.40806288949	1530.38319327467	43.4221626718277	109.166219605005
hsa-miR-223-5p	27.0268444132134	233.20071514886	193.272318145465	9.30474914396308	99.8091150674335
hsa-let-7f-5p	23.6484888615617	2023.59668188697	1877.68471928226	9.30474914396308	165.308846830437
hsa-miR-101-3p	23.6484888615617	1550.63332670411	3258.55166237739	9.30474914396308	343.093833044303
hsa-miR-200a-3p	20.2701333099101	3921.7596457772	4500.5961028452	12.4063321919508	152.832707447008
hsa-miR-1246	20.2701333099101	5968.82782821486	61.0230364905985	21.7110813359138	171.546916522151
hsa-miR-92a-3p	20.2701333099101	2602.81274386384	2816.28180948412	18.6094982879262	112.285254450863
hsa-miR-423-5p	20.2701333099101	120.133701743352	357.112303578422	3.10158304798769	90.4520105298616
hsa-miR-340-5p	16.8917777582584	885.859859494045	463.264916894865	0	43.6664878420022
hsa-let-7d-5p	16.8917777582584	94.3907656554909	111.842864307528	3.10158304798769	24.9522787668584
hsa-miR-30d-5p	13.5134222066067	3237.55278563807	5880.08953708042	24.8126643839015	127.880428680149
hsa-miR-27b-3p	13.5134222066067	3324.11971777666	3580.93381335506	20.16028981192	113.844771873791
hsa-miR-320a	13.5134222066067	683.70209668643	794.117039175351	4.65237457198154	62.9005360581222
hsa-miR-200b-3p	13.5134222066067	3123.98100877986	5976.52948060174	21.7110813359138	53.0235923795741
hsa-miR-629-5p	13.5134222066067	36.3429685946275	62.5927609019323	46.5237457198154	28.0713136127157
hsa-miR-146b-5p	13.5134222066067	294.781856378645	289.810369442489	3.10158304798769	15.5951742292865
hsa-let-7a-5p	11.8242444307809	2871.51515518616	2999.93956561016	46.5237457198154	212.094369518296
hsa-miR-140-3p	10.135066654955	172.629100824481	151.870836796538	6.20316609597539	62.380696917146
hsa-miR-24-3p	10.135066654955	220.076865378578	433.636368630941	15.5079152399385	152.832707447008
hsa-miR-25-3p	10.135066654955	188.781531310982	302.171949181742	9.30474914396308	99.8091150674335
hsa-miR-186-5p	10.135066654955	273.077027912409	288.240645031155	12.4063321919508	28.0713136127157
hsa-miR-215-5p	10.135066654955	133.257551513634	164.624847638624	4.65237457198154	51.4640749566454
hsa-miR-181a-5p	10.135066654955	1075.65091771043	1309.34637460374	18.6094982879262	81.0949059922897
hsa-miR-532-5p	10.135066654955	250.86743599347	305.90004465866	3.10158304798769	37.4284181502876
hsa-miR-100-5p	10.135066654955	1300.77541761604	2164.5518554535	46.5237457198154	40.5474529961449
hsa-miR-93-5p	6.75671110330336	66.1240123041139	56.1176477051806	0	9.35710453757189
hsa-miR-2110	6.75671110330336	11.6095594121727	14.5199508048369	0	3.1190348458573
hsa-miR-29a-3p	6.75671110330336	400.277417993606	374.379272103093	6.20316609597539	12.4761393834292
hsa-miR-142-5p	6.75671110330336	114.581303763617	45.9144390315114	0	68.6187666088606
hsa-let-7c-5p	5.06753332747752	484.236405626565	790.650564433655	40.32057962384	15.5951742292865
hsa-miR-628-5p	3.37835555165168	0	0.784862205666862	0	0
hsa-miR-30a-5p	3.37835555165168	2079.62542513702	5993.40401802358	6.20316609597539	40.5474529961449
hsa-miR-654-3p	3.37835555165168	2.5238172635158	0.588646654250147	0	0
hsa-miR-16-5p	3.37835555165168	56.0287432500507	60.2381742849317	3.10158304798769	21.8332439210011
hsa-miR-203a-3p	3.37835555165168	46.4382376486907	53.5668455367633	15.5079152399385	168.427881676294
hsa-miR-30a-3p	3.37835555165168	107.262233699421	264.106132206899	6.20316609597539	3.1190348458573
hsa-miR-429	3.37835555165168	591.0780031154	542.732215218635	0	9.35710453757189
