	sample_SM11_norm1_sequence_fastq	sample_SM12_norm2_sequence_fastq	sample_SM13_norm3_sequence_fastq	sample_SM1_crc1_sequence_fastq	sample_SM2_crc2_sequence_fastq	sample_SM3_crc3_sequence_fastq	sample_SM6_uc1_sequence_fastq	sample_SM7_uc2_sequence_fastq	sample_SM8_uc3_sequence_fastq
hsa_piR_019420|gb|DQ596670|Homo_sapiens:2:101255914:101255940:Minus	381.1888301694	166.017270826992	347.719723106592	679.128488883446	156.657963446475	85.5794369728842	218.929761859152	302.795278518534	300.943822090314
hsa_piR_016658|gb|DQ592931|Homo_sapiens:6:80508363:80508389:Plus	297.367202592882	152.182498258076	278.668997950673	44.5330156644883	543.080939947781	263.156768691619	607.530089159146	164.678133931133	285.377762327022
hsa_piR_019091|gb|DQ596211|Homo_sapiens:14:22840554:22840580:Minus	79.8301215014449	206.263881936566	167.694618235803	122.465793077343	78.3289817232376	128.369155459326	93.0451487901394	196.55132114361	88.2076719919887
hsa_piR_020365|gb|DQ597975|Homo_sapiens:11:108979133:108979162:Plus	15.966024300289	2.51541319434837	7.39829198099132	0	0	0	0	21.2487914749849	2.59434329388202
hsa_piR_021675|gb|DQ599711|Homo_sapiens:9:93527109:93527135:Minus	13.9702712627529	42.7620243039223	78.9151144639074	0	46.9973890339426	68.4635495783073	76.625416650703	37.1853850812235	54.4812091715224
hsa_piR_010894|gb|DQ584698|Homo_sapiens:8:68660258:68660288:Minus	7.98301215014449	5.03082638869674	2.46609732699711	0	15.6657963446475	0	0	0	5.18868658776404
hsa_piR_021952|gb|DQ600063|Homo_sapiens:14:100842608:100842633:Plus	7.98301215014449	5.03082638869674	2.46609732699711	0	5.22193211488251	0	5.47324404647879	0	0
hsa_piR_010791|gb|DQ584559|Homo_sapiens:7:100511976:100512004:Plus	5.98725911260837	0	0	0	0	0	0	0	0
hsa_piR_016659|gb|DQ592932|Homo_sapiens:14:22388242:22388267:Plus	5.98725911260837	13.834772568916	7.39829198099132	0	46.9973890339426	10.6974296216105	32.8394642788727	21.2487914749849	25.9434329388202
hsa_piR_003940|gb|DQ575369|Homo_sapiens:12:3452809:3452837:Plus	3.99150607507225	0	0	0	0	0	0	0	0
hsa_piR_014121|gb|DQ589292|Homo_sapiens:15:20812880:20812908:Minus	3.99150607507225	2.51541319434837	2.46609732699711	0	10.443864229765	0	0	0	0
hsa_piR_001170|gb|DQ571526|Homo_sapiens:11:10488300:10488331:Minus	3.99150607507225	0	0	0	0	0	0	0	0
hsa_piR_001929|gb|DQ572565|Homo_sapiens:X:146861475:146861503:Minus	2.99362955630418	0	0	0	0	0	0	0	2.59434329388202
hsa_piR_001930|gb|DQ572566|Homo_sapiens:12:124653798:124653825:Minus	2.99362955630418	0	0	0	0	0	0	0	2.59434329388202
hsa_piR_010230|gb|DQ583775|Homo_sapiens:9:130060080:130060105:Minus	1.99575303753612	0	0	0	0	0	0	0	0
hsa_piR_020450|gb|DQ598104|Homo_sapiens:9:133350930:133350959:Plus	1.99575303753612	47.792850692619	14.7965839619826	22.2665078322441	0	0	0	0	2.59434329388202
hsa_piR_020381|gb|DQ597997|Homo_sapiens:1:235833024:235833053:Plus	1.99575303753612	2.51541319434837	4.93219465399421	0	5.22193211488251	4.27897184864421	0	0	0
hsa_piR_015099|gb|DQ590642|Homo_sapiens:19:47056699:47056724:Plus	1.99575303753612	0	0	0	5.22193211488251	0	0	0	0
hsa_piR_019675|gb|DQ596992|Homo_sapiens:14:89411151:89411178:Minus	1.99575303753612	0	4.93219465399421	0	0	0	0	0	0
hsa_piR_009449|gb|DQ582759|Homo_sapiens:18:11647818:11647846:Minus	1.99575303753612	0	0	0	0	4.27897184864421	0	0	0
hsa_piR_014972|gb|DQ590480|Homo_sapiens:7:29975505:29975532:Minus	1.99575303753612	0	0	22.2665078322441	0	0	0	0	0
hsa_piR_020009|gb|DQ597484|Homo_sapiens:7:145325417:145325443:Plus	1.99575303753612	5.03082638869674	0	0	15.6657963446475	8.55794369728842	0	0	2.59434329388202
hsa_piR_000805|gb|DQ571003|Homo_sapiens:1:212438966:212438997:Plus	1.99575303753612	0	0	0	0	0	0	0	0
hsa_piR_005019|gb|DQ576918|Homo_sapiens:2:27127216:27127243:Plus	1.99575303753612	0	0	0	0	0	0	0	2.59434329388202
