	sample_FHS_1020_CVD_BC_12_fastq	sample_FHS_1066_No_CVD_BC_11_fastq	sample_FHS_1095_No_CVD_BC_13_fastq	sample_FHS_1120_No_CVD_BC_01_fastq	sample_FHS_1579_CVD_BC_10_fastq	sample_FHS_1610_CVD_BC_04_fastq	sample_FHS_172_CVD_BC_14_fastq	sample_FHS_216_N0_CVD_BC_03_fastq	sample_FHS_21_No_CVD_BC_01_fastq	sample_FHS_2303_No_CVD_BC_07_fastq	sample_FHS_2616_No_CVD_BC_05_fastq	sample_FHS_2768_CVD_BC_02_fastq	sample_FHS_2918_No_CVD_BC01_fastq	sample_FHS_2938_CVD_BC_04_fastq	sample_FHS_3132_N0_CVD_BC_05_fastq	sample_FHS_3170_No_CVD_BC_07_fastq	sample_FHS_320_No_CVD_BC_07_fastq	sample_FHS_3392_CVD_BC_02_fastq	sample_FHS_3464_No_CVD_BC_03_fastq	sample_FHS_3713_CVD_BC_06_fastq	sample_FHS_4043_CVD_BC_04_fastq	sample_FHS_4820_No_CVD_BC_13_fastq	sample_FHS_4912_CVD_BC_02_fastq	sample_FHS_500_No_CVD_BC_09_fastq	sample_FHS_5237_CVD_BC_06_fastq	sample_FHS_543_CVD_BC_16_fastq	sample_FHS_590_N0_CVD_BC_15_fastq	sample_FHS_6077_No_CVD_BC_09_fastq	sample_FHS_6136_CVD_BC_08_fastq	sample_FHS_6355_CVD_BC_08_fastq	sample_FHS_6684_CVD_BC_16_fastq	sample_FHS_6758_CVD_BC_14_fastq	sample_FHS_676_CVD_BC_06_fastq	sample_FHS_6926_No_CVD_BC_03_fastq	sample_FHS_7138_CVD_BC_12_fastq	sample_FHS_7226_No_CVD_BC_15_fastq	sample_FHS_728_CVD_BC_08_fastq	sample_FHS_7326_No_CVD_BC_11_fastq
hsa_piR_016658|gb|DQ592931|Homo_sapiens:6:80508363:80508389:Plus	7792.75693139137	5731.888389672	20066.7508616151	25006.2563243279	6885.02076273597	8817.00224711583	6878.31424236941	17550.1175343623	6641.70897960642	6267.26152538772	7036.12097169224	21003.4854378939	8858.30145475985	4833.25081771624	13583.0278609471	5864.62770656249	12137.1199549404	7568.49279755829	6222.17967740391	17042.4750917672	11201.0511250323	7698.83138259795	9011.9353376643	4150.4835884548	16689.9000239594	7153.17620836257	12108.3100535155	16323.8583778445	33856.2712938753	59691.5350162103	16446.1607875997	9678.84581210145	17081.3292502953	7802.54622200177	8447.65775680771	5363.31952606355	5387.57624916941	3227.97217820984
hsa_piR_020009|gb|DQ597484|Homo_sapiens:7:145325417:145325443:Plus	398.061555842586	369.591906258637	261.920630269208	386.26002371963	280.3578829323	310.395652230481	481.56550543501	1165.89045671395	190.557101626484	518.078710692175	187.468629241478	552.020065127679	451.613124374426	349.000478861122	503.679659736408	775.406843210773	866.97870141719	144.35817325043	466.663475805294	756.216708525377	309.706482719786	259.895403499013	90.6481341592386	137.080191912269	1317.7669839472	173.360300491188	330.966084390742	378.361852271485	311.649895676518	560.959002517444	568.896760651401	256.229052241798	936.890712247376	306.363609838648	588.421178803762	133.035945984121	281.351204123292	322.260117624943
hsa_piR_016659|gb|DQ592932|Homo_sapiens:14:22388242:22388267:Plus	189.946385568039	143.015998508777	448.636327094782	557.628907482564	209.252622768311	227.220769372313	219.90563542986	380.017267782981	349.354686315221	147.223806275834	178.397566536245	572.634922331617	211.666872334883	158.267659018416	305.472386229025	191.397891678609	300.824153444757	199.351763060118	179.485952232805	251.152264510253	220.548555876211	161.864681126578	400.362592536637	182.773589216358	397.508222430354	152.722169480332	215.969394051586	393.233479006105	816.100150542746	1554.19376198597	500.23680677968	252.096325592736	414.921814457212	182.359291570624	201.58873718277	92.79667837164	179.585874972314	118.162043129146
hsa_piR_009051|gb|DQ582264|Homo_sapiens:11:10487350:10487380:Minus	143.698569951473	131.767549187862	285.260092372404	315.536357404768	199.094728459169	111.519396010951	122.479088087517	427.913308166905	99.2484904304605	156.541768698355	108.852752462794	282.499895016931	125.97178232076	89.2791922667987	251.839829868204	215.936082919456	183.869308488478	206.225961786329	83.7601110419758	198.713879612508	140.775673963539	123.108349025848	271.944402477716	53.3089635214378	479.187994162619	107.318281256449	280.479732534527	186.068260075008	322.21429891979	227.382045563864	140.122354840247	165.30906596245	266.245309828112	413.347727560081	217.933769927319	95.2603070009756	77.820545821336	193.356070574966
hsa_piR_010894|gb|DQ584698|Homo_sapiens:8:68660258:68660288:Minus	82.5853850295821	32.1384266311858	23.3394621031967	65.2833842906416	20.3157886182826	39.0317886038329	97.426547342343	85.7087038449177	19.8496980860921	63.3621444731438	66.5211265050405	25.9594498123666	46.2753486076262	97.3954824728713	107.265112721642	49.0763824816945	52.3678410251994	34.3709936310549	35.897190446561	44.1586399138907	89.1579268435748	27.3574108946329	90.6481341592386	60.9245297387861	76.2344536167803	24.7657572130268	112.191893013811	8.99214639767698	31.6932097298154	92.4520405039886	42.036706452074	20.6636332453063	53.9810078345656	43.7662299769498	73.5526473504702	42.7028962418166	53.8757624916942	96.6780352874829
hsa_piR_000805|gb|DQ571003|Homo_sapiens:1:212438966:212438997:Plus	67.7200157242573	44.9937972836602	70.0183863095902	70.7236663148618	150.336835775291	54.8303697053843	100.210162980696	35.2918192302602	39.6993961721842	201.267988326457	48.3790010945749	40.4662011781009	66.8421702110156	97.3954824728713	97.9377116154126	137.413870948745	41.8942728201595	113.424278982481	71.7943808931221	22.0793199569453	122.005584101734	68.3935272365823	135.972201238858	53.3089635214378	5.44531811548431	99.0630288521072	56.0959465069054	31.8183641763955	73.9508227029026	36.2312050623739	67.2587303233183	49.592719788735	33.8524964386259	53.4920588607164	73.5526473504702	68.9816016213961	41.9033708268732	32.2260117624943
hsa_piR_020828|gb|DQ598675|Homo_sapiens:2:149355860:149355890:Minus	54.5063541195242	61.0630105992531	150.409866887268	141.447332629724	28.4421040655956	89.215516808761	91.8593160656377	165.115297113003	35.7294565549658	115.542734039262	36.2842508209312	123.689143223629	65.1282684107331	73.0466118546535	88.6103105091828	19.6305529926778	117.536709856559	85.9274840776372	227.34887282822	71.7577898600723	79.7728819126722	27.3574108946329	181.296268318477	38.0778310867413	87.1250898477489	41.2762620217113	100.97270371243	65.7118390599472	15.8466048649077	84.9559291117733	61.6538361297085	20.6636332453063	130.835324073608	92.3953743957829	92.6218522191106	103.472402432094	59.8619583241046	128.904047049977
hsa_piR_019420|gb|DQ596670|Homo_sapiens:2:101255914:101255940:Minus	19.8204924070997	9.64152798935575	28.5260092372404	0	130.021047157009	50.183728204928	50.1050814903478	22.0573870189126	43.6693357894026	40.999034659093	60.4737513682186	24.4324233528156	39.4197414064964	0	55.9644066373786	39.2611059853556	10.4735682050399	137.48397452422	0	16.559489967709	18.7700898618052	63.8339587541435	60.4320894394924	30.462264869393	16.3359543464529	8.25525240434226	22.4383786027622	40.1188070050204	73.9508227029026	74.9611139221529	86.8758600009528	95.0527129284088	34.767428774805	58.3549733025997	49.0350982336468	31.2059626382506	107.751524983388	59.0810215645729
hsa_piR_001170|gb|DQ571526|Homo_sapiens:11:10488300:10488331:Minus	6.60683080236657	19.2830559787115	5.18654713404372	8.1604230363302	0	3.71731320036504	5.56723127670531	2.20573870189126	3.96993961721842	3.72718496900846	0	0	3.4278036005649	0	0	0	0.581864900279993	0	23.9314602977074	0	9.38504493090261	4.55956848243882	0	3.80778310867413	16.3359543464529	4.12762620217113	25.2431759281074	6.91703569052076	5.2822016216359	1.24935189870255	0	0	10.0642556979699	0	0	22.993867207132	0	2.68550098020786
hsa_piR_020450|gb|DQ598104|Homo_sapiens:9:133350930:133350959:Plus	4.95512310177492	6.42768532623717	20.7461885361749	0	52.8210504075347	4.6466415004563	0	1.26042211536644	0	0	0	2.29053968932647	6.8556072011298	0	4.66370055311489	0	1.16372980055999	17.1854968155274	0	0	0	18.2382739297553	0	0	0	0	0	2.07511070715623	0	19.9896303792408	0	28.9290865434288	0	0	16.3450327445489	0	0	0
hsa_piR_001169|gb|DQ571525|Homo_sapiens:17:21945564:21945589:Plus	4.95512310177492	0	2.59327356702186	2.72014101211007	0	0	5.56723127670531	0.315105528841609	3.96993961721842	0	0	0	0.856950900141226	0	0	0	0.581864900279993	0	0	0	0	0	0	3.80778310867413	0	4.12762620217113	2.80479732534527	1.38340713810415	5.2822016216359	1.24935189870255	0	0	1.82986467235816	0	0	0	0	2.68550098020786
hsa_piR_020326|gb|DQ597916|Homo_sapiens:3:15524502:15524532:Plus	4.95512310177492	0	2.59327356702186	0	0	0	0	0	0	0	6.04737513682186	0.763513229775489	1.71390180028245	0	0	0	1.16372980055999	0	0	0	0	0	0	0	0	0	0	2.07511070715623	0	2.4987037974051	0	0	0	4.86291444188331	0	0	0	5.37100196041572
