	sample_Neptune_Urine_33-10_fastq	sample_Neptune_Urine_33-11_fastq	sample_Neptune_Urine_33-12_fastq	sample_Neptune_Urine_33-13_fastq	sample_Neptune_Urine_33-14_fastq	sample_Neptune_Urine_33-15_fastq	sample_Neptune_Urine_33-17_fastq	sample_Neptune_Urine_33-18_fastq	sample_Neptune_Urine_33-19_fastq	sample_Neptune_Urine_33-1_fastq	sample_Neptune_Urine_33-20_fastq	sample_Neptune_Urine_33-21_fastq	sample_Neptune_Urine_33-22_fastq	sample_Neptune_Urine_33-23_fastq	sample_Neptune_Urine_33-24_fastq	sample_Neptune_Urine_33-2_fastq	sample_Neptune_Urine_33-3_fastq	sample_Neptune_Urine_33-4_fastq	sample_Neptune_Urine_33-5_fastq	sample_Neptune_Urine_33-6_fastq	sample_Neptune_Urine_33-7_fastq	sample_Neptune_Urine_33-8_fastq	sample_Neptune_Urine_33-9_fastq	sample_Neptune_Urine_35-10_fastq	sample_Neptune_Urine_35-11_fastq	sample_Neptune_Urine_35-12_fastq	sample_Neptune_Urine_35-13_fastq	sample_Neptune_Urine_35-15_fastq	sample_Neptune_Urine_35-16_fastq	sample_Neptune_Urine_35-17_fastq	sample_Neptune_Urine_35-18_fastq	sample_Neptune_Urine_35-19_fastq	sample_Neptune_Urine_35-1_fastq	sample_Neptune_Urine_35-20_fastq	sample_Neptune_Urine_35-21_fastq	sample_Neptune_Urine_35-22_fastq	sample_Neptune_Urine_35-23_fastq	sample_Neptune_Urine_35-24_fastq	sample_Neptune_Urine_35-2_fastq	sample_Neptune_Urine_35-3_fastq	sample_Neptune_Urine_35-4_fastq	sample_Neptune_Urine_35-5_fastq	sample_Neptune_Urine_35-6_fastq	sample_Neptune_Urine_35-7_fastq	sample_Neptune_Urine_35-8_fastq	sample_Neptune_Urine_35-9_fastq	sample_Neptune_Urine_36-10_fastq	sample_Neptune_Urine_36-11_fastq	sample_Neptune_Urine_36-12_fastq	sample_Neptune_Urine_36-14_fastq	sample_Neptune_Urine_36-16_fastq	sample_Neptune_Urine_36-17_fastq	sample_Neptune_Urine_36-18_fastq	sample_Neptune_Urine_36-19_fastq	sample_Neptune_Urine_36-1_fastq	sample_Neptune_Urine_36-20_fastq	sample_Neptune_Urine_36-21_fastq	sample_Neptune_Urine_36-22_fastq	sample_Neptune_Urine_36-23_fastq	sample_Neptune_Urine_36-24_fastq	sample_Neptune_Urine_36-2_fastq	sample_Neptune_Urine_36-3_fastq	sample_Neptune_Urine_36-4_fastq	sample_Neptune_Urine_36-5_fastq	sample_Neptune_Urine_36-6_fastq	sample_Neptune_Urine_36-7_fastq	sample_Neptune_Urine_36-8_fastq	sample_Neptune_Urine_36-9_fastq	sample_Neptune_Urine_37-10_fastq	sample_Neptune_Urine_37-11_fastq	sample_Neptune_Urine_37-1_fastq	sample_Neptune_Urine_37-2_fastq	sample_Neptune_Urine_37-3_fastq	sample_Neptune_Urine_37-4_fastq	sample_Neptune_Urine_37-5_fastq	sample_Neptune_Urine_37-6_fastq	sample_Neptune_Urine_37-7_fastq	sample_Neptune_Urine_37-8_fastq	sample_Neptune_Urine_37-9_fastq
hsa_piR_016658|gb|DQ592931|Homo_sapiens:6:80508363:80508389:Plus	0	0	0	7303.17064481653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4086.39813193228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_016659|gb|DQ592932|Homo_sapiens:14:22388242:22388267:Plus	0	0	0	5878.16173851087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3502.62697022767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_000805|gb|DQ571003|Homo_sapiens:1:212438966:212438997:Plus	0	0	0	1068.75667972925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa_piR_020813|gb|DQ598646|Homo_sapiens:1:31213600:31213629:Minus	0	0	0	0	0	0	0	1687.76371308017	0	11627.9069767442	0	0	0	0	0	0	8810.57268722467	0	0	0	0	0	99.9100809271656	5050.50505050505	0	0	0	0	0	7800.3120124805	0	0	0	0	0	784.929356357928	0	0	0	7511.43043762247	0	4651.16279069767	0	0	77102.8037383178	0	0	0	0	0	0	374.531835205993	468.055230517201	0	1889.16876574307	988.630746416214	198.833510074231	0	0	2427.18446601942	0	2297.09035222052	0	0	0	375.657400450789	0	0	0	0	6131.07822410148	6389.77635782748	0	0	0	0	0	5291.00529100529	272.405339144647
hsa_piR_001168|gb|DQ571524|Homo_sapiens:2:117497628:117497655:Plus	0	0	0	0	0	0	0	843.881856540084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1824.81751824818	0	0	1306.33572828217	0	0	0	0	0	0	0	0	0	0	0	0	468.055230517201	0	0	0	0	0	206.483584555028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	544.810678289295
hsa_piR_017458|gb|DQ594126|Homo_sapiens:1:31213602:31213628:Minus	0	0	0	0	0	0	0	0	0	11627.9069767442	0	0	0	0	0	0	0	0	0	0	0	0	49.9550404635828	5050.50505050505	0	0	0	0	0	7800.3120124805	0	0	0	0	0	0	0	0	0	1632.91966035271	0	4651.16279069767	0	0	35046.7289719626	0	0	0	0	0	0	374.531835205993	468.055230517201	0	1889.16876574307	988.630746416214	66.2778366914104	0	0	2427.18446601942	0	765.696784073507	0	0	0	375.657400450789	0	0	0	0	2325.58139534884	0	0	0	0	0	0	1763.6684303351	272.405339144647
hsa_piR_014620|gb|DQ590013|Homo_sapiens:5:93930930:93930956:Minus	0	0	0	0	0	0	0	0	0	0	0	0	11627.9069767442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202.654777586382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1175.77895355673	0
hsa_piR_000552|gb|DQ570687|Homo_sapiens:22:38045003:38045030:Minus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14245.0142450142	4405.28634361233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2336.44859813084	0	0	0	0	0	0	0	0	0	0	0	0	2309.4688221709	0	7281.55339805825	0	0	0	0	0	0	0	0	0	0	422.832980972516	1597.44408945687	0	0	0	0	0	0	0
hsa_piR_015592|gb|DQ591301|Homo_sapiens:19:7952022:7952048:Minus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5873.71512481645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3978.77984084881	1801.8018018018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1376.46249139711	0	0	0	0	0	0	0	0	0	0	1175.77895355673	272.405339144647
hsa_piR_017061|gb|DQ593574|Homo_sapiens:17:2180331:2180362:Minus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4405.28634361233	0	0	0	0	0	0	0	0	0	2918.85580852306	0	1106.80686220255	780.03120124805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9345.79439252336	0	0	0	0	0	0	0	0	0	0	0	0	0	206.483584555028	0	0	0	0	0	0	0	0	0	0	0	422.832980972516	0	3766.47834274953	0	0	0	0	0	0
