	sample_SM11_norm1_sequence_fastq	sample_SM12_norm2_sequence_fastq	sample_SM13_norm3_sequence_fastq	sample_SM1_crc1_sequence_fastq	sample_SM2_crc2_sequence_fastq	sample_SM3_crc3_sequence_fastq	sample_SM6_uc1_sequence_fastq	sample_SM7_uc2_sequence_fastq	sample_SM8_uc3_sequence_fastq
Pro	6015.19965513388	5370.40716993378	4453.77177255678	734.794758464056	4830.28720626632	5614.01106542121	6611.67880814638	8233.90669655664	3328.54244605064
Ala	2800.46383418408	2046.97098498795	1809.84092078817	1207.59735298652	1703.92053551322	1835.49757316642	2904.15118574412	2275.78128529543	1859.1070921194
Glu	2252.64231548333	1756.63865144182	1880.99989111245	491.005795737604	1168.80582657689	1890.30462801334	2008.94497840456	829.314676019743	1226.43179686596
Gly	2233.78052074345	1759.90315800953	2694.22931931283	398.511894123927	2334.9732032431	3422.14299595515	5925.86941992216	2228.35220485272	3506.45740863686
Lys	940.55549646053	1080.20872253709	1217.03290934288	1154.14732263799	1021.72414182858	1321.89909771205	3147.4134724147	1719.13531400586	1056.46206465664
Phe	920.208463057281	361.530755897236	330.457041817612	200.398570490197	345.082680591819	269.964223905371	306.957770273352	396.732644164196	213.547518246118
Arg	502.264514446591	656.522843724924	583.643034055982	122.465793077343	439.043984735891	763.083313008217	607.530089159146	403.727038024712	364.937623339404
Asp	357.477849228346	325.062346222002	522.537643899226	38.6571316532016	437.720170748891	613.23285442994	765.590150643816	131.424196875787	137.700947330631
Cys	341.773073200595	438.997685311976	566.456759628629	350.097675611754	405.86000886262	420.335718569922	2435.6984483307	811.129680097636	442.340633265183
Val	249.896444189725	259.048930890906	285.232779400784	97.0450584273164	250.634963497407	313.179658231219	450.278293388041	237.715294804646	234.874091512866
Ser	196.923338078959	88.0007631376645	181.131974428629	46.1234805096486	175.138699420684	185.893327557249	378.603570502912	181.255092382022	123.96458919871
Tyr	183.148499531237	217.442706130375	274.274860895296	270.909178625637	313.001706735388	215.305696285779	704.232755002567	242.501869799438	234.791792034065
Leu	140.555476700161	246.549191710669	239.332637809576	120.875328232182	262.152468940981	263.619148433505	494.765851964246	278.048803648285	250.147575425422
Asn	127.728194402312	173.563510410038	155.364131600818	22.2665078322441	99.2167101827676	226.785507978143	262.715714230982	148.741540324894	98.5850451675168
Gln	101.783404914342	57.8545034700125	96.0407903458318	11.1332539161221	41.7754569190601	145.485042853903	1789.44673408487	106.243957374924	54.4812091715224
His	93.8003927641978	88.039461802193	103.576087733878	0	99.2167101827676	154.042986551192	153.250833301406	79.6829680311932	531.840375245814
Trp	63.8640972011559	22.6387187491353	49.3219465399421	0	41.7754569190601	34.2317747891537	147.777589254927	15.9365936062386	31.1321195265842
Thr	58.9745022591924	40.2466111095739	61.7757380412775	22.2665078322441	62.6631853785901	98.4163525188168	103.991636883097	65.0744238921411	59.4104614298983
Met	53.8853320134753	84.2663420106704	83.8473091179016	33.3997617483662	109.660574412533	162.60093024848	191.563541626758	90.3073637686857	62.2642390531685
Ile	51.8593402935523	77.9778090247995	48.8474096300503	22.2665078322441	66.2235936387372	123.86975172757	95.6988428732806	60.848811951093	64.331852041929
iMet	33.3290757268533	23.8964253463095	33.7855333798604	11.1332539161221	10.443864229765	4.27897184864421	38.3127083253515	5.31219786874621	50.8491285600876
SeC	9.97876518768062	10.0616527773935	22.194875942974	0	5.22193211488251	29.9528029405095	5.47324404647879	10.6243957374924	23.3490896449382
Sup	5.32200810009633	26.8310740730493	24.6609732699711	0	20.88772845953	12.8369155459326	73.1286218432305	42.4975829499697	14.1247579333577
Und	2.83840432005138	5.58980709855193	5.48021628221579	0	10.443864229765	17.5913287110929	1.70278703668229	9.02230431675945	6.05346768572471
tRNA	1.99575303753612	2.51541319434837	0	0	5.22193211488251	12.8369155459326	5.47324404647879	5.31219786874621	2.59434329388202
