	sample_DKO1_cell_1_fastq	sample_DKO1_cell_2_fastq	sample_DKO1_cell_3_fastq	sample_DKO1_exo_1_fastq	sample_DKO1_exo_2_fastq	sample_DKO1_exo_3_fastq	sample_DKS8_cell_1_fastq	sample_DKS8_cell_2_fastq	sample_DKS8_cell_3_fastq	sample_DKS8_exo_1_fastq	sample_DKS8_exo_2_fastq	sample_DKS8_exo_3_fastq	sample_DLD1_cell_1_fastq	sample_DLD1_cell_2_fastq	sample_DLD1_cell_3_fastq	sample_DLD1_exo_1_fastq	sample_DLD1_exo_2_fastq	sample_DLD1_exo_3_fastq
Gly	11846.0862084429	9786.12938378878	14241.2617610809	208647.312534714	221116.026341029	32178.8736994554	13887.5427626705	14370.0915462352	15725.399377131	88487.3227347139	104638.244634238	88577.202566462	14824.1555551743	11285.5839507637	19974.0993076514	93101.7317148554	119417.551942615	115155.696464647
Lys	3419.83727585415	3077.34380112524	3900.13039640326	9237.77467867067	12543.3471693378	3449.54797368856	4784.34048067534	4891.0657701424	5797.78007898055	8377.97360220327	7130.39241632071	7596.80207730756	4459.12033240703	3637.96158949412	5851.57445252986	5292.50940223419	2921.40426037072	3403.68023289258
Glu	3131.41713622743	3978.66046341591	3874.96930127022	66391.9840100561	69147.3465285005	18848.5591133317	3963.22938936735	4249.65187365884	5000.86699641006	18248.8019351294	40568.5278090845	43923.8849234208	3994.02413129293	3377.28812057966	4905.62409372339	207523.228641902	136184.731756616	126287.486402007
His	1957.02738790399	2178.76919204635	1949.07633107442	25046.3800493995	30651.3409961682	10681.3367614131	1930.52802026328	2439.46521640001	3218.36005913239	12519.3814302658	14734.9914366692	15938.727585065	2150.17696636774	1988.8106447508	1990.30405036057	36177.0462137952	43229.8673927188	60131.1986788395
Val	1062.96019805916	1017.51748297366	1159.42198496038	13411.6087468808	13570.1893125363	1915.47118440219	1442.06520036259	1340.84832120039	1950.15835930104	5832.95556264542	6408.12964533121	3998.61453955931	1363.86540613116	1211.96235663679	1640.90695899948	12686.5152515944	7415.46046598035	4133.88973490067
Gln	445.612647073369	553.79490065038	402.972989369094	517.464420176175	495.079659326171	197.956191228052	362.935134073807	407.525823250266	414.041957755521	1049.16903086032	934.956577092712	1123.73729081505	432.241552991631	408.712569012321	382.840698604292	279.449972103858	343.882002385903	500.53264420896
Arg	341.917921112677	283.258846386664	303.42948825164	118.184785498399	144.456655759272	55.3170993451641	360.447325087002	359.1330167884	374.318796228144	127.660260104681	124.28196850513	144.894325068043	360.601606541349	383.322410945597	349.05459044759	121.160127765309	74.0055340186157	121.310355724778
Ala	302.10941932088	311.825314451513	280.022111654227	1526.55003084864	1461.18316869471	255.429964574112	364.405511061358	283.146503608061	342.604194634649	2340.53560873742	2465.53766316035	2096.29641056335	283.174960403178	264.314063223602	288.996258489357	658.350781819946	586.59901041408	671.367133895996
Pro	258.428060080537	293.107088550193	236.830917223302	1576.95051391459	1532.90573034293	203.883023300748	327.459802819941	302.600805585218	346.071065510997	456.106560374007	624.441110050167	401.083441305309	268.147161339217	314.014645744496	321.076970929498	666.3807027092	515.893907084501	322.135062260756
Leu	244.927758888707	162.830479238249	204.394812597586	419.229685531041	718.534290665625	120.117130006642	273.08587524382	219.022599009597	280.14774470397	381.305268090448	340.449233847133	356.387377221668	259.612222919983	257.457179456541	278.625360164135	198.350854325465	175.48617647528	183.74950940665
