	sample_FHS_1020_CVD_BC_12_fastq	sample_FHS_1066_No_CVD_BC_11_fastq	sample_FHS_1095_No_CVD_BC_13_fastq	sample_FHS_1120_No_CVD_BC_01_fastq	sample_FHS_1579_CVD_BC_10_fastq	sample_FHS_1610_CVD_BC_04_fastq	sample_FHS_172_CVD_BC_14_fastq	sample_FHS_216_N0_CVD_BC_03_fastq	sample_FHS_21_No_CVD_BC_01_fastq	sample_FHS_2303_No_CVD_BC_07_fastq	sample_FHS_2616_No_CVD_BC_05_fastq	sample_FHS_2768_CVD_BC_02_fastq	sample_FHS_2918_No_CVD_BC01_fastq	sample_FHS_2938_CVD_BC_04_fastq	sample_FHS_3132_N0_CVD_BC_05_fastq	sample_FHS_3170_No_CVD_BC_07_fastq	sample_FHS_320_No_CVD_BC_07_fastq	sample_FHS_3392_CVD_BC_02_fastq	sample_FHS_3464_No_CVD_BC_03_fastq	sample_FHS_3713_CVD_BC_06_fastq	sample_FHS_4043_CVD_BC_04_fastq	sample_FHS_4820_No_CVD_BC_13_fastq	sample_FHS_4912_CVD_BC_02_fastq	sample_FHS_500_No_CVD_BC_09_fastq	sample_FHS_5237_CVD_BC_06_fastq	sample_FHS_543_CVD_BC_16_fastq	sample_FHS_590_N0_CVD_BC_15_fastq	sample_FHS_6077_No_CVD_BC_09_fastq	sample_FHS_6136_CVD_BC_08_fastq	sample_FHS_6355_CVD_BC_08_fastq	sample_FHS_6684_CVD_BC_16_fastq	sample_FHS_6758_CVD_BC_14_fastq	sample_FHS_676_CVD_BC_06_fastq	sample_FHS_6926_No_CVD_BC_03_fastq	sample_FHS_7138_CVD_BC_12_fastq	sample_FHS_7226_No_CVD_BC_15_fastq	sample_FHS_728_CVD_BC_08_fastq	sample_FHS_7326_No_CVD_BC_11_fastq
Gly	6297.79203279675	6217.56109787421	5641.84862916601	8737.73240264424	6616.28653222296	5949.83523126294	3583.06252354516	10498.838439211	3162.2646885038	7048.64521166425	6778.15091143315	8322.72428026922	9906.29799150168	2442.59753751755	8656.74750996317	5202.14102749988	10698.3382034015	3765.1889235901	3177.04130458087	8167.35848682591	6472.45066253981	10476.9639963593	3751.25127115013	4751.50554137887	1842.07270270308	2637.14279438363	2351.61884044364	13087.4854394685	5033.23274865274	14327.744393928	4674.09886166958	4254.18772695708	6422.97054055707	3384.4036039258	3940.64969099178	2172.15322149454	6051.02178236636	9990.07306918368
Glu	2798.83792906117	1961.13659819904	2053.58219044425	1813.47324997399	3803.12216167376	3022.84819681699	1363.57572720823	3205.91938104584	1469.56012010034	4167.12566957943	2330.9855018248	2983.24160161418	3713.07397374761	2203.97860545902	3052.03600811279	2227.90395596087	3585.53757883391	2290.43274600489	1687.6962624657	2976.67396437491	3265.35044050131	2964.30289204208	4195.7268423343	2110.27117205345	1128.81205704248	1373.09951175734	1067.13090491028	5645.73509332533	2523.14686565872	4495.84513630337	1675.93712732845	2916.29272707692	3286.41593501359	1108.3506251177	2897.00394973897	1449.99415556882	3493.36427499132	4616.29113807267
Lys	781.179089632199	649.75736508161	697.261284948941	576.733301117733	1153.14175140109	897.507019573363	552.507938275312	1133.05994630979	524.914238276658	1065.81489572108	1021.57444275598	820.010454402144	1016.43280142725	758.012315609569	931.420242988086	690.246279986499	827.110460349376	615.398527271001	498.57208953557	696.41855030865	611.925950017093	915.989674373581	807.200051798934	1084.44124436813	339.066892321463	612.461106950726	485.667858021532	1011.41594557268	674.763527152403	929.04880989812	923.317351822723	753.846911031036	672.293174331186	377.879327781583	976.529224832066	544.702665722674	923.135319217953	1606.93325824781
Val	492.542937849245	925.579182360475	1049.3758618583	464.558069685793	1181.06442911315	897.339150483924	647.423558314894	873.939674115669	563.215965035493	1106.58262938682	716.234141063199	793.835142412687	1044.67623316033	1221.04761782058	1020.31424893769	993.444181229018	854.728159733901	915.539368812093	761.656930620598	580.060589923655	852.587741963995	622.762991780388	538.442644938299	1135.90140284704	345.295688792919	443.608084278671	413.752742192147	1052.24269857874	625.958373905613	1136.44077328377	620.561944210807	1071.2206754512	770.287653475786	282.90660532244	886.082317795352	756.415403474237	1126.78245183635	1524.83803722032
Asp	385.054357700427	703.83154322297	765.015702271448	229.171880270273	1012.74206262139	680.882336150792	523.667691965093	457.106835079068	436.693357894026	964.557884920878	417.268884440708	381.070237168204	461.74278810286	710.98702205196	625.454063067741	509.16746824758	708.856914766102	460.885419324822	538.457856698416	601.66146882676	559.080533740912	825.933262247489	1269.07387822934	980.672140914854	458.616792393012	430.452446797847	572.178654370435	692.656114618281	466.154293109368	814.153550702716	495.30472230574	1023.38283618272	466.844224535375	189.653663233449	813.16537904131	660.311130486442	880.719061843389	913.070333270672
His	270.880062897029	221.755143755182	165.969508289399	130.566768581283	117.831573986039	293.667742828838	139.180781917633	281.074131726715	146.887765837082	171.450508574389	169.326503831012	213.783704337137	263.083926343356	105.511772678944	205.202824337055	294.458294890167	228.091040909757	140.921073887325	179.485952232805	115.916429773963	211.163510945309	186.942307779992	75.5401117993654	83.7712283908309	294.047178236152	90.8077764477649	190.726218123478	267.689281223153	79.2330243245385	229.880749361269	201.776190969955	111.583619524654	256.181054130142	301.500695396765	266.968868160966	307.132369123835	113.737720815799	214.840078416629
Ala	231.842002967811	568.516780746095	286.087923499007	268.751834192987	472.676630106856	337.044381072239	232.988763337133	358.238238192016	469.760224993598	544.915514538147	308.162395958188	267.761869230869	312.741791136345	404.859569165748	329.494477412054	244.990919251338	346.934381562073	314.622066563168	263.319778229078	291.325892297382	268.158516720412	346.413329328626	357.188513254384	477.110214944348	176.092671328896	327.840288033725	255.628706005012	301.397612728547	190.781671646896	368.259403130987	276.064688279434	505.679519900232	279.482900022948	222.372538043766	336.358050952933	466.183846405301	464.598715282638	492.665925621226
Arg	160.342701395896	157.725509159204	254.140809568142	125.126486557063	370.424545806686	256.018032209756	122.479088087517	354.511899111936	128.361380956729	176.763267568675	152.192274276684	199.049441453439	155.329841480144	221.126340159852	244.490968390568	98.152764963389	177.080884651878	203.361712317075	107.691571339683	154.555239698617	133.097000838255	316.613672045714	166.188245958604	260.467749615568	144.239331439118	198.126057704214	224.383786027622	229.561742068434	237.038797770911	368.975260750152	231.201885486407	192.171789181348	213.319993150676	156.42374788058	215.757563460372	208.713563880122	203.530658301956	416.252651932218
Ser	160.084357370932	165.75736894293	201.788117133295	117.625491644881	428.543531739612	218.353033938985	276.455208882939	190.010170399485	212.548161081864	243.472928052446	209.158024483283	130.909135860519	141.029230983669	382.575109259037	219.936887816117	304.035625289625	169.195733639599	271.624588758873	193.88108819976	184.629949761184	184.721519274908	244.377990948056	174.500928391244	453.727303167559	209.411104675856	326.807931546446	190.284250060091	118.304974778112	161.180946968076	231.195806990863	276.911496088081	313.101437543428	126.046108241848	120.101355767915	370.627521356717	209.560285917315	293.758955485015	307.286415189845
Tyr	157.541453537384	126.171381883987	113.857058514007	78.4719467735995	253.018635963125	131.730073851507	250.691701372991	138.230925115769	145.440141390803	238.723373640015	210.892827047785	68.3063394222522	65.5564965445267	265.673232745443	176.720938816246	207.211392700488	132.015322180409	114.569978770183	171.508798800236	160.995041352726	231.832955138368	156.545184563733	398.420132518939	375.701266722514	173.883660587599	249.570694116036	139.4117832474	98.6830425180961	152.995065046408	191.210333449047	140.434849933184	262.198546290442	53.6324621826879	172.342249195749	233.704878963185	163.978837167003	218.353619410782	200.338373123506
Leu	141.940983552125	163.735669626643	163.635562079079	108.805640484403	226.375930318006	129.176974125982	115.983984931361	135.944977993698	168.060777128913	212.662401116328	227.352508120041	114.599700012016	159.42194947039	176.938099492458	179.219349826843	186.490253430439	190.037076431446	127.172676434903	305.126118795769	104.87676979549	332.23803900231	146.432295493708	243.167217030338	212.103958962538	215.012093973563	173.360300491188	126.130885782193	208.507144991912	157.865614056141	175.036641744537	121.906448711014	363.751523674188	121.252424473487	77.1119290070068	215.252093099088	183.299468238505	207.122375801402	224.686915344057
