	sample_NEB_Lib_41_fastq	sample_NEB_Lib_42_fastq	sample_NEB_Lib_43_fastq	sample_NEB_Lib_44_fastq	sample_NEB_Lib_45_fastq	sample_NEB_Lib_46_fastq	sample_NEB_Lib_47_fastq	sample_NEB_Lib_48_fastq	sample_NEB_Lib_49_fastq	sample_NEB_Lib_50_fastq	sample_NEB_Lib_51_fastq	sample_NEB_Lib_52_fastq	sample_NEB_Lib_53_fastq	sample_NEB_Lib_54_fastq	sample_NEB_Lib_55_fastq	sample_NEB_Lib_56_fastq	sample_NEB_Lib_57_fastq	sample_NEB_Lib_58_fastq	sample_NEB_Lib_59_fastq	sample_NEB_Lib_60_fastq	sample_NEB_Lib_61_fastq	sample_NEB_Lib_62_fastq	sample_NEB_Lib_63_fastq	sample_NEB_Lib_64_fastq	sample_NEB_Lib_65_fastq	sample_NEB_Lib_66_fastq	sample_NEB_Lib_67_fastq	sample_NEB_Lib_68_fastq	sample_NEB_Lib_69_fastq	sample_NEB_Lib_70_fastq	sample_NEB_Lib_71_fastq	sample_NEB_Lib_72_fastq	sample_NEB_Lib_73_fastq	sample_NEB_Lib_74_fastq	sample_NEB_Lib_75_fastq	sample_NEB_Lib_76_fastq	sample_NEB_Lib_77_fastq	sample_NEB_Lib_78_fastq	sample_NEB_Lib_79_fastq	sample_NEB_Lib_80_fastq	sample_NEB_Lib_81_fastq	sample_NEB_Lib_82_fastq	sample_NEB_Lib_83_fastq	sample_NEB_Lib_84_fastq	sample_NEB_Lib_85_fastq	sample_NEB_Lib_86_fastq	sample_NEB_Lib_87_fastq	sample_NEB_Lib_88_fastq
Gly	299407.762483648	164030.498993495	158881.857471115	122445.426815612	303873.89369608	263878.505852726	27879.0842109693	275553.500816663	298496.327411781	282678.089645366	98220.3993245026	64725.5474610771	64759.3434937704	266866.565417977	185341.914945725	88124.4698812595	202566.616929422	118175.615296449	34161.129399278	112129.720161878	96394.5073569177	195581.237318517	160211.677312638	259369.501344254	156062.418749252	193148.851300712	251121.814211032	231010.038711027	236063.510976463	307038.087430445	207418.430662281	168762.795050331	220252.422049036	150543.804288799	194018.594053146	168817.491300292	208659.821148015	85633.0828193487	212631.751746969	147296.137060194	209518.825883326	201818.747895662	141196.63581347	255327.810344622	147203.117210451	233355.385352083	182549.102955488	198386.030131715
Glu	32005.042626604	30309.7289985738	48771.746330163	30052.9839757557	76081.2411056968	75070.6954802249	5387.7820812992	60897.8133814107	73948.0105065637	79312.8487729232	22236.8893843939	46921.9357638758	35644.3269031561	38098.1946255088	59186.9026606266	22406.2052594376	107694.395304133	41388.1846795911	16121.2959490544	65131.2399112843	27144.73614445	82983.9015479357	65925.2334225602	86161.3334156096	43351.9099214489	82801.4535775801	94884.0720608637	70121.1458682763	82222.3868131876	95974.4216913672	62684.9244757605	67141.1034364752	100486.262418717	53960.433054279	69475.0354341476	73480.9512140232	52618.7724666133	25387.6847676075	49164.2592440887	55075.4998609312	56516.947617469	60181.9233419159	34034.6563745426	44784.4266515503	36527.6314589419	101112.828698377	52444.6089978039	74602.4768540994
Val	12979.8176579787	11111.816754239	12988.7865654949	8535.36492913982	30535.2156952707	22873.9313100714	3075.25729979087	16969.4052961991	23216.0954755792	21575.0894378576	14287.2567225663	17035.9224884745	10626.6215752672	23176.91489339	21241.395609644	14638.5401813895	24153.0680394949	20763.2428830624	7372.22159331899	16466.231207574	9493.98095132408	19354.9696392497	27057.7201754596	38174.2928687587	17052.229260169	34088.1077265401	22751.117819977	21286.0891776594	39878.960449258	37125.8338034809	27700.4956164823	27247.4858942496	45673.1949671414	30021.6900704034	22270.2244773663	25703.4017117522	19321.4776775638	8194.35305903439	18467.7039468687	13655.8470007778	20670.7271950909	15915.798586954	9959.25440052636	13198.8172142102	13466.7625389533	35278.7002242003	20281.4136527081	21184.6502015593
His	5471.97097221816	3643.15151973912	8513.52170497814	7697.23971406814	12074.9387606425	6314.38095203782	1511.38658771635	5417.17713067539	12371.4102694202	10816.525676338	5331.92256754136	5963.56077372338	5437.12847889766	5658.92554947798	7896.54502133317	3590.92718704565	7301.90969555614	6511.13361857759	2320.83341739792	5281.49467566445	3286.32785520542	6466.15073781855	4197.25214072331	9735.11316613498	7811.5300066279	6910.70838038089	6719.42421114058	6480.37019172447	9058.60932277856	15033.6495203744	11531.9275547324	4734.48915281383	10952.661046119	6131.00726308489	5830.56910214758	8198.83610927956	7019.45413022058	3785.63949524357	6759.37649040822	6677.05260165015	5051.27441163048	7119.41954414185	3805.98995373476	4266.33937511195	6146.58626456887	26534.2199134393	7078.11375720308	8910.74508996185
Ser	3658.15864854073	5433.9442185166	3195.9740598881	2191.75136467319	10346.4152952361	10057.5842366634	807.177488506301	6965.43224540365	4411.38030171285	5760.71135999426	4279.40873176202	3247.22917935554	1582.99621795593	6199.36631369945	6490.87290936994	3987.44149127796	7003.21216874118	6907.34279215111	1496.9176351055	3148.71491367803	2590.77263322851	3843.28563538707	8884.79573080708	7526.44326333408	6417.74717971619	5342.04506801207	4241.10960185872	5705.8360954606	11156.0372104783	9209.20795164915	7966.45011053444	9957.5877363531	15419.4835656178	5773.751648476	7315.91594095245	6410.9626770676	5951.03937103061	2837.16587059996	5188.07983280082	3314.30105305101	6090.73095653421	4773.55166423452	2999.64272141053	3492.13076677159	4348.12024196076	2923.44863907454	5875.147283794	3501.49381454021
Ala	3532.94292527142	5135.74283057485	3824.30711539891	2731.202093307	7775.46559832746	6089.89914652306	922.407098454047	6391.91433606272	4981.24100685802	9390.76953502373	2766.16879547206	4085.07491904972	3996.81834918358	6196.95789686932	4622.65402309778	2909.72687548285	6930.94550252197	5580.9311649532	2049.98681315572	6525.19519619906	2413.45820000116	4571.13307314246	5259.02258344585	7555.91797516186	3760.72647421045	11116.9014124745	6363.14179596594	3292.3981723744	10383.4992744255	12056.7774758071	6315.40186562701	5667.51989824912	12372.602531469	6380.69394582688	5191.83377443449	5235.01037401351	4866.19735530957	2490.39497817938	4440.15352925785	2485.19795064306	6048.65146505192	3423.70574266838	7374.53963935818	2461.41750821885	2597.17864101441	6408.35561970079	3806.74690311488	3512.22972761908
Pro	3045.03197501753	3146.54629472476	4964.79570239194	4789.33518621431	8887.0401503493	4921.13190468257	1580.6239529328	5707.16728190858	7701.11370439901	12711.4039152305	2389.66450471388	8587.49747481762	7606.85654562383	8583.34843104435	5990.22170499212	2556.17893778707	4797.55576720845	4865.90657661433	2511.5244413176	7354.1479614987	1705.1873739291	3960.66981676818	4832.42894199403	6402.32150613196	4678.76068773372	11528.5726628393	6806.05284853974	3441.89643077983	9719.88361342038	17697.8363145584	5490.55615809303	5407.9955488233	9188.50619785199	7349.78965165704	5033.59883443097	7898.95011676393	4598.25489568246	2836.3126481315	4839.95686725512	3383.75966411756	5685.62397370901	3667.74728211753	2856.61338475147	2168.95496707019	2824.80535123817	9372.14298071959	3459.44744127938	6050.25669246464
Lys	2134.64713642557	1743.70710164032	1865.08863746335	1642.83284867955	3487.16955065397	2732.42599560619	471.445307314287	2268.60595311562	3181.72285313724	3134.16457082448	2351.57817504563	1379.41383012115	1079.25277283184	2071.91789101667	2036.61838304118	2035.47988057719	2707.02665319916	1590.80304842811	1595.56910051698	2050.93290817678	1460.32228392643	2095.02064908571	2507.73264094706	2063.85464538541	2528.20560130955	3046.40010169232	1944.02812056122	2610.45842339708	2073.75143794728	4526.8148585143	2758.53279375324	3620.99797060148	2625.49559066126	2270.37947928289	2446.33218937543	2323.78487636125	2257.60885418542	1460.47833264253	2030.6870708668	1888.59925840272	2314.00431093205	2224.86601432194	1806.55059962813	2485.64476034614	1853.5850145417	3383.50610588025	3134.89394940061	2970.45266574279
Cys	466.730105809577	533.292210490628	336.993936856908	384.626998451917	534.676023786012	524.018349355013	71.4887555438638	539.754545444891	626.439349211148	627.905064703725	263.984142982736	475.026532467766	458.303070532703	453.557794188061	381.397171783203	217.977698797588	538.020711025003	351.581248312074	179.489439631046	448.052629271313	218.683857059047	355.732905396673	376.611764542638	433.943654632517	231.678054476854	721.232398947182	399.123717999929	324.606389979123	738.477887491409	594.309459928648	425.824085692565	434.41426896438	717.819670012338	469.867845070026	404.664127525111	395.216330057855	432.616551132007	235.038790692274	342.249328705294	312.040115998149	442.951216902978	556.187090201961	442.825605089199	373.269797364448	248.190596144866	657.541002658929	501.544179867958	691.755800052444
Arg	434.926915820224	620.054276186426	283.666679829659	290.169807751185	742.898028229129	787.392190876505	393.528614264436	531.411690535968	345.390007948991	380.224144970954	1003.06854646628	621.063437837708	701.895502105046	1296.36139919142	515.685502964079	1397.34858914707	554.404254662595	615.026343838876	742.588594854466	806.132398799007	326.034753255545	453.403166909295	774.301629343633	457.921200679678	365.5047489376	531.501282574564	528.857266853812	531.040246973595	497.380291140331	615.183906828591	406.401756352327	423.84366060187	655.730562272618	324.919250638777	433.119095687799	501.313180985227	476.536921329956	474.811385969849	471.44077653913	359.372419393861	711.263046356429	824.291751430245	730.126520798664	822.818272440857	406.003764285708	399.187683111253	601.855490343233	538.60295599658
