	sample_Neptune_Urine_33-10_fastq	sample_Neptune_Urine_33-11_fastq	sample_Neptune_Urine_33-12_fastq	sample_Neptune_Urine_33-13_fastq	sample_Neptune_Urine_33-14_fastq	sample_Neptune_Urine_33-15_fastq	sample_Neptune_Urine_33-17_fastq	sample_Neptune_Urine_33-18_fastq	sample_Neptune_Urine_33-19_fastq	sample_Neptune_Urine_33-1_fastq	sample_Neptune_Urine_33-20_fastq	sample_Neptune_Urine_33-21_fastq	sample_Neptune_Urine_33-22_fastq	sample_Neptune_Urine_33-23_fastq	sample_Neptune_Urine_33-24_fastq	sample_Neptune_Urine_33-2_fastq	sample_Neptune_Urine_33-3_fastq	sample_Neptune_Urine_33-4_fastq	sample_Neptune_Urine_33-5_fastq	sample_Neptune_Urine_33-6_fastq	sample_Neptune_Urine_33-7_fastq	sample_Neptune_Urine_33-8_fastq	sample_Neptune_Urine_33-9_fastq	sample_Neptune_Urine_35-10_fastq	sample_Neptune_Urine_35-11_fastq	sample_Neptune_Urine_35-12_fastq	sample_Neptune_Urine_35-13_fastq	sample_Neptune_Urine_35-15_fastq	sample_Neptune_Urine_35-16_fastq	sample_Neptune_Urine_35-17_fastq	sample_Neptune_Urine_35-18_fastq	sample_Neptune_Urine_35-19_fastq	sample_Neptune_Urine_35-1_fastq	sample_Neptune_Urine_35-20_fastq	sample_Neptune_Urine_35-21_fastq	sample_Neptune_Urine_35-22_fastq	sample_Neptune_Urine_35-23_fastq	sample_Neptune_Urine_35-24_fastq	sample_Neptune_Urine_35-2_fastq	sample_Neptune_Urine_35-3_fastq	sample_Neptune_Urine_35-4_fastq	sample_Neptune_Urine_35-5_fastq	sample_Neptune_Urine_35-6_fastq	sample_Neptune_Urine_35-7_fastq	sample_Neptune_Urine_35-8_fastq	sample_Neptune_Urine_35-9_fastq	sample_Neptune_Urine_36-10_fastq	sample_Neptune_Urine_36-11_fastq	sample_Neptune_Urine_36-12_fastq	sample_Neptune_Urine_36-14_fastq	sample_Neptune_Urine_36-16_fastq	sample_Neptune_Urine_36-17_fastq	sample_Neptune_Urine_36-18_fastq	sample_Neptune_Urine_36-19_fastq	sample_Neptune_Urine_36-1_fastq	sample_Neptune_Urine_36-20_fastq	sample_Neptune_Urine_36-21_fastq	sample_Neptune_Urine_36-22_fastq	sample_Neptune_Urine_36-23_fastq	sample_Neptune_Urine_36-24_fastq	sample_Neptune_Urine_36-2_fastq	sample_Neptune_Urine_36-3_fastq	sample_Neptune_Urine_36-4_fastq	sample_Neptune_Urine_36-5_fastq	sample_Neptune_Urine_36-6_fastq	sample_Neptune_Urine_36-7_fastq	sample_Neptune_Urine_36-8_fastq	sample_Neptune_Urine_36-9_fastq	sample_Neptune_Urine_37-10_fastq	sample_Neptune_Urine_37-11_fastq	sample_Neptune_Urine_37-1_fastq	sample_Neptune_Urine_37-2_fastq	sample_Neptune_Urine_37-3_fastq	sample_Neptune_Urine_37-4_fastq	sample_Neptune_Urine_37-5_fastq	sample_Neptune_Urine_37-6_fastq	sample_Neptune_Urine_37-7_fastq	sample_Neptune_Urine_37-8_fastq	sample_Neptune_Urine_37-9_fastq
Glu	608695.652173913	0	68181.8181818182	31706.448165301	19736.8421052632	70752.688172043	102941.176470588	53914.6741678387	370266.479663394	335400.516795866	116504.854368932	399829.332438028	11627.9069767442	666666.666666667	0	158404.558404558	54038.1791483113	11111.1111111111	0	0	6e+05	145938.658577688	29639.4783156697	58585.8585858586	27777.7777777778	230769.230769231	46117.9217746643	19607.8431372549	16048.6995019369	599516.531385893	13400.3350083752	27027.027027027	140229.885057471	28037.3831775701	67105.2631578947	3139.71742543171	31021.897810219	447887.323943662	214163.090128755	39139.8281666081	123991.341991342	195348.837209302	36942.6751592357	130677.290836653	29906.5420560748	274078.589634635	170212.765957447	511811.023622047	110701.10701107	197467.475053682	41441.4414414414	394166.266525817	158551.909125277	177479.147358665	417550.431656225	679756.306745926	469727.221084764	212101.024456683	55089.8203592814	489320.388349515	155009.451795841	321474.849805631	99322.7990970655	188679.245283019	15847.8605388273	229686.734393885	440025.058676125	51212.9380053908	108108.108108108	1e+06	517310.673822302	83067.0926517572	56497.1751412429	43795.6204379562	151685.393258427	68965.5172413793	6863.78035902851	425136.043654562	442422.591482793
SeC	0	0	0	4987.53117206983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2583.97932816537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6369.42675159236	0	0	20873.4420913973	0	0	0	0	0	0	0	0	0	0	0	0	0	7281.55339805825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	587.889476778366	0
Ala	0	0	0	3206.27003918774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lys	0	0	0	2137.5133594585	9868.42105263158	3225.8064516129	8823.52941176471	3375.52742616034	0	17441.8604651163	0	1930.50193050193	0	0	0	14245.0142450142	4405.28634361233	0	0	0	0	167958.656330749	18766.4435341526	0	27777.7777777778	0	0	0	553.403431101273	6240.2496099844	0	0	11494.2528735632	0	12858.8516746411	1569.85871271586	0	14084.5070422535	2145.92274678112	0	0	4651.16279069767	0	19920.3187250996	32710.2803738318	465371.364879927	14184.3971631206	0	0	0	0	0	234.027615258601	9036.14457831325	3778.33753148615	494.315373208107	2606.92824319548	9237.8752886836	0	4854.36893203883	0	0	2257.33634311512	16981.1320754717	0	751.314800901578	23399.8623537509	16172.5067385445	0	0	11416.4904862579	1597.44408945687	3766.47834274953	0	0	0	0	45267.4897119341	23290.6564968673
Arg	0	0	0	1425.00890630566	0	2150.5376344086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3831.41762452107	0	0	0	0	0	0	0	0	0	0	0	0	911.946499138717	0	0	0	0	0	0	0	0	0	0	132.555673382821	0	206.483584555028	0	0	0	0	0	1584.78605388273	0	688.231245698555	8086.25336927224	0	0	845.665961945032	0	0	7299.2700729927	0	0	0	0	0
Gly	0	0	0	1425.00890630566	0	2150.5376344086	0	3375.52742616034	15427.7699859748	5813.95348837209	0	923.283531979184	9302.32558139535	0	0	0	1468.42878120411	11111.1111111111	0	0	0	1235.81620042692	0	0	0	0	38528.8966725044	0	0	1865.29200298447	1675.0418760469	0	0	0	0	0	0	0	0	0	115653.67965368	0	6369.42675159236	0	0	1573.66399767947	0	0	0	1326.2599469496	0	0	1638.1933068102	0	139.938427092079	494.315373208107	195.951865000692	0	0	2427.18446601942	0	0	18058.690744921	0	0	1437.29787998563	0	0	13513.5135135135	0	0	0	0	0	0	0	0	0	408.608008716971
His	0	0	0	1425.00890630566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1013.27388793191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2257.33634311512	0	0	0	688.231245698555	0	0	0	0	0	0	0	0	0	0	587.889476778366	544.810678289295
Ser	0	0	0	1068.75667972925	0	0	2941.17647058824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2583.97932816537	149.865121390748	0	0	0	0	0	0	780.03120124805	0	0	0	0	0	0	0	0	0	0	3636.36363636364	0	0	0	0	1519.91083189786	0	0	0	0	0	0	468.055230517201	0	0	0	132.555673382821	0	0	0	0	1531.39356814701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asp	0	0	0	712.504453152832	0	0	0	0	0	0	0	0	0	0	0	2849.00284900285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7380.07380073801	0	0	0	0	6024.09638554217	0	0	0	6928.4064665127	0	2427.18446601942	0	0	0	0	0	0	0	2695.41778975741	0	0	0	0	0	0	0	0	0	0	0
Pro	0	0	0	712.504453152832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1326.2599469496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
