	sample_2572_KCV_1_25_VK_fastq	sample_2572_KCV_1_26_CC_fastq	sample_2572_KCV_1_27_AE_fastq	sample_2572_KCV_1_28_CHL001_fastq	sample_2572_KCV_1_29_CHL002_fastq	sample_2572_KCV_1_30_CHL003_fastq
hsa_piR_016658|gb|DQ592931|Homo_sapiens:6:80508363:80508389:Plus	7501.38583409331	7910.01166769617	7819.20737054919	8161.17625162851	8486.88457250161	7757.4845396199
hsa_piR_005019|gb|DQ576918|Homo_sapiens:2:27127216:27127243:Plus	616.919693149509	593.189595160357	655.447134957488	530.429927414852	608.825773135379	452.308724099477
hsa_piR_020450|gb|DQ598104|Homo_sapiens:9:133350930:133350959:Plus	143.053841889741	102.950260317087	166.169696186405	65.1405174018239	110.028754181093	175.464591245487
hsa_piR_016659|gb|DQ592932|Homo_sapiens:14:22388242:22388267:Plus	31.2930279133809	31.8655567648126	23.0791244703341	27.9173646007817	36.6762513936976	33.143311679703
hsa_piR_020365|gb|DQ597975|Homo_sapiens:11:108979133:108979162:Plus	13.4112976771632	4.9023933484327	0	0	7.33525027873951	7.79842627757719
hsa_piR_017178|gb|DQ593744|Homo_sapiens:18:45271685:45271715:Minus	11.176081397636	9.80478669686541	11.539562235167	23.2644705006514	11.0028754181093	25.3448854021259
hsa_piR_018292|gb|DQ595186|Homo_sapiens:18:45269646:45269676:Minus	11.176081397636	9.80478669686541	11.539562235167	23.2644705006514	11.0028754181093	9.74803284697148
hsa_piR_019091|gb|DQ596211|Homo_sapiens:14:22840554:22840580:Minus	8.94086511810883	29.4143600905962	27.6949493644009	0	22.0057508362185	11.6976394163658
hsa_piR_017724|gb|DQ594465|Homo_sapiens:1:147565218:147565249:Minus	7.00367767585192	6.20969824134809	8.77006729872696	6.82424468019108	10.7583670754846	6.23874102206175
hsa_piR_004307|gb|DQ575881|Homo_sapiens:3:170972715:170972744:Plus	7.00367767585192	6.20969824134809	8.77006729872696	6.82424468019108	10.7583670754846	6.23874102206175
hsa_piR_017723|gb|DQ594464|Homo_sapiens:3:170972714:170972743:Plus	7.00367767585192	6.20969824134809	8.77006729872696	6.82424468019108	10.7583670754846	6.23874102206175
hsa_piR_004309|gb|DQ575884|Homo_sapiens:2:47361402:47361433:Minus	7.00367767585192	6.20969824134809	8.77006729872696	6.82424468019108	18.0936173542241	6.23874102206175
hsa_piR_004308|gb|DQ575882|Homo_sapiens:1:147565217:147565248:Minus	7.00367767585192	6.20969824134809	8.77006729872696	6.82424468019108	10.7583670754846	6.23874102206175
hsa_piR_016745|gb|DQ593052|Homo_sapiens:1:147565220:147565247:Minus	5.21550465223015	3.26826223228847	6.92373734110023	3.10192940008685	4.89016685249301	3.89921313878859
hsa_piR_016945|gb|DQ593356|Homo_sapiens:1:144106919:144106948:Minus	4.47043255905441	0	0	0	0	0
hsa_piR_020391|gb|DQ598016|Homo_sapiens:8:122897053:122897079:Plus	4.47043255905441	24.5119667421635	0	18.6115764005211	14.670500557479	7.79842627757719
hsa_piR_019825|gb|DQ597218|Homo_sapiens:1:227740227:227740256:Plus	4.47043255905441	0	0	0	0	3.89921313878859
hsa_piR_004046|gb|DQ575522|Homo_sapiens:10:79200132:79200161:Plus	2.23521627952721	3.67679501132453	5.76978111758352	4.65289410013028	3.66762513936976	1.9496065693943
hsa_piR_000609|gb|DQ570757|Homo_sapiens:10:79200139:79200166:Plus	2.23521627952721	3.67679501132453	5.76978111758352	4.65289410013028	3.66762513936976	1.9496065693943
hsa_piR_011628|gb|DQ585746|Homo_sapiens:10:79200129:79200159:Plus	2.23521627952721	3.67679501132453	5.76978111758352	4.65289410013028	3.66762513936976	1.9496065693943
hsa_piR_020975|gb|DQ598850|Homo_sapiens:10:79200136:79200165:Plus	2.23521627952721	3.67679501132453	5.76978111758352	4.65289410013028	3.66762513936976	1.9496065693943
hsa_piR_000805|gb|DQ571003|Homo_sapiens:1:212438966:212438997:Plus	0	0	9.23164978813364	9.30578820026056	7.33525027873951	0
hsa_piR_004506|gb|DQ576200|Homo_sapiens:Y:23752295:23752322:Minus	0	0	4.61582489406682	0	0	0
hsa_piR_016735|gb|DQ593039|Homo_sapiens:6:4373286:4373316:Plus	0	0	0	9.30578820026056	0	0
hsa_piR_015303|gb|DQ590904|Homo_sapiens:19:4795768:4795797:Minus	0	0	0	0	7.33525027873951	0
hsa_piR_004153|gb|DQ575660|Homo_sapiens:3:156861576:156861607:Plus	0	0	0	0	7.33525027873951	3.89921313878859
hsa_piR_017194|gb|DQ593767|Homo_sapiens:18:45272066:45272097:Minus	0	0	0	0	0	3.89921313878859
