	sample_DKO1_cell_1_fastq	sample_DKO1_cell_2_fastq	sample_DKO1_cell_3_fastq	sample_DKO1_exo_1_fastq	sample_DKO1_exo_2_fastq	sample_DKO1_exo_3_fastq	sample_DKS8_cell_1_fastq	sample_DKS8_cell_2_fastq	sample_DKS8_cell_3_fastq	sample_DKS8_exo_1_fastq	sample_DKS8_exo_2_fastq	sample_DKS8_exo_3_fastq	sample_DLD1_cell_1_fastq	sample_DLD1_cell_2_fastq	sample_DLD1_cell_3_fastq	sample_DLD1_exo_1_fastq	sample_DLD1_exo_2_fastq	sample_DLD1_exo_3_fastq
hsa_piR_000552|gb|DQ570687|Homo_sapiens:22:38045003:38045030:Minus	2222.63949760161	2474.02144225589	2612.26769572022	19.3190134270027	14.4880006427404	14.6195191126505	1392.73404958978	1805.9854149312	1844.3935401309	200.786040164645	86.3911244486882	105.548274027713	2502.62245645457	3197.11779579083	2203.3131794961	48.8548902279471	44.3146910291112	96.8444016290248
hsa_piR_012681|gb|DQ587153|Homo_sapiens:20:2585585:2585613:Plus	1281.66081518136	1555.63223244504	1316.09629752443	68.049062220487	18.439273545306	26.8683053962226	864.068291358078	1135.81647425493	1099.26630761955	94.1959200772407	25.7657739583807	12.6657928833255	1321.43326144981	1465.19679333192	1222.23064935107	14.6564670683841	76.2212685700713	56.0678114694354
hsa_piR_016658|gb|DQ592931|Homo_sapiens:6:80508363:80508389:Plus	757.192238774609	489.129360788629	843.568400437991	4815.33618255141	9269.21583978755	8011.69403480157	2379.64792721709	1923.1344648251	3112.73895272271	27630.3900826569	15739.8566210461	9034.46315333209	867.918378712773	651.885799319594	1138.11624892537	6675.5322007467	3211.92880578998	5298.40818386164
hsa_piR_016659|gb|DQ592932|Homo_sapiens:14:22388242:22388267:Plus	575.020558575017	372.18554790289	558.059172253266	2444.28771374182	5377.40018661297	7529.64502622228	1361.02240247083	1122.69249362931	1896.17619788221	23454.7840992329	13258.7641522303	8014.1631710642	625.655614113641	487.809881534575	763.736567414364	5889.94556588131	2635.83782241153	4339.1389003573
hsa_piR_014620|gb|DQ590013|Homo_sapiens:5:93930930:93930956:Minus	481.397233059995	473.950716926028	320.985268452785	17.3006090391069	23.8957932678965	21.7317175998859	188.402748350654	171.457676902679	142.819285273648	39.6614400325224	31.8283090074114	15.0113100839414	304.600492689557	274.71479468056	355.922924583069	52.7632814461829	28.3614022586312	22.4271245877742
hsa_piR_020828|gb|DQ598675|Homo_sapiens:2:149355860:149355890:Minus	390.50911909645	560.407232289025	477.468624155733	5.76686967970229	7.714389952628	8.29756490177461	413.170161201268	432.052076728543	528.29947458639	4.9576800040653	1.51563376225769	7.50565504197068	665.273297143698	1074.31117791104	2316.32299445652	5.86258682735366	0	3.0582442619692
hsa_piR_018780|gb|DQ595807|Homo_sapiens:17:72068837:72068864:Plus	305.486880508362	201.385176386893	335.564463083495	3.46012180782137	3.01049364004995	0.790244276359487	336.024911247398	339.628316300598	294.404773282724	19.8307200162612	13.6407038603192	6.09834472160118	358.014749043179	232.034311267037	274.682937121561	0	3.5451752823289	13.2523918018665
hsa_piR_001152|gb|DQ571500|Homo_sapiens:2:206734890:206734919:Plus	246.894035465873	184.548907605677	409.918355700113	4.32515225977672	2.06971437753434	0.395122138179743	326.303957738036	306.951296400341	336.684246652707	6.19710000508162	9.09380257354613	8.44386192221702	310.422899780236	287.545831098306	339.785869345525	4.88548902279471	3.5451752823289	9.17473278590761
hsa_piR_000586|gb|DQ570728|Homo_sapiens:5:137924634:137924661:Minus	230.153222596591	338.415502992306	227.840413867698	1.44171741992557	2.44602608254059	4.34634351997718	196.790034457816	312.316901738993	188.589724334731	12.3942000101632	7.57816881128844	6.09834472160118	212.960868044953	254.469416859744	141.804372899914	0.977097804558943	8.86293820582224	11.2135622938871
hsa_piR_000796|gb|DQ570994|Homo_sapiens:9:139028023:139028048:Minus	206.096542686008	201.710200880738	205.728635344455	0.288343483985115	1.31709096752185	0	177.466675652621	160.001384422855	169.583355572078	1.23942000101632	0	1.4073103203695	162.710963371047	175.90813100857	153.201168161429	0	1.77258764116445	1.01941475398973
